"","Name","adj.P.Val","P.Value","logFC"
"1","IFI27",9.15e-47,4.92e-51,3.87692921
"2","SHISA5",2.94e-42,3.16e-46,0.60162262
"3","IFITM1",1.96e-33,3.15e-37,0.95016274
"4","SIGLEC1",1.05e-32,2.26e-36,1.79479141
"5","IFI6",1.15e-32,3.1e-36,1.87579119
"6","CMPK2",3.1e-30,9.99e-34,1.9232935
"7","EPSTI1",6.51e-30,2.45e-33,1.01245043
"8","PARP9",1.35e-29,5.8e-33,0.96290959
"9","LY6E",2.27e-29,1.1e-32,1.20073304
"10","PLSCR1",1.29e-26,6.93e-30,1.16653526
"11","OASL",1.76e-26,1.04e-29,1.69621237
"12","IFI44L",1.21e-25,7.81e-29,2.32426664
"13","RSAD2",1.3e-25,9.05e-29,1.62623415
"14","EIF2AK2",2.45e-25,1.84e-28,1.20377189
"15","OAS1",4.8e-25,3.87e-28,1.43066646
"16","IFI44",5.2e-25,4.47e-28,1.83430722
"17","XAF1",3.1e-24,2.83e-27,1.25498937
"18","MYD88",4.7e-24,4.55e-27,0.58948539
"19","IFIT3",4.89e-24,4.99e-27,1.82731967
"20","TCN2",1.07e-23,1.15e-26,1.02773758
"21","ISG15",1.12e-23,1.28e-26,1.58664581
"22","CCR1",1.12e-23,1.32e-26,1.26668338
"23","KIAA1958",3.62e-23,4.47e-26,1.1747009
"24","OAS3",1.85e-22,2.39e-25,1.6182411
"25","IFIT1",2.99e-22,4.02e-25,2.46273122
"26","USP18",7e-22,9.78e-25,2.1467489
"27","MX2",8.54e-22,1.24e-24,0.91482218
"28","DDX60L",8.85e-22,1.33e-24,1.20344983
"29","ZCCHC2",1.84e-21,2.87e-24,0.96899286
"30","IL1RN",2.86e-21,4.61e-24,1.39445907
"31","MX1",4.19e-21,6.98e-24,1.41007265
"32","ADAR",6.93e-21,1.19e-23,0.69167783
"33","TNFSF10",1.15e-20,2.03e-23,0.87070984
"34","DDX60",2.44e-20,4.46e-23,1.38086409
"35","CD1C",2.81e-20,5.28e-23,-0.90044888
"36","EPHB2",3.17e-20,6.14e-23,0.95498988
"37","CD300E",3.76e-20,7.47e-23,1.02347751
"38","FBXO6",4.02e-20,8.28e-23,1.01541424
"39","ADM",4.02e-20,8.43e-23,1.52707779
"40","APOBEC3A",4.21e-20,9.06e-23,0.7559736
"41","BST1",7.71e-20,1.7e-22,1.17155516
"42","IFI27L2",1.1e-19,2.52e-22,0.50023027
"43","SAMD9L",1.1e-19,2.53e-22,0.83009175
"44","LGALS1",1.44e-19,3.41e-22,0.67225753
"45","GNS",1.8e-19,4.35e-22,0.61910676
"46","OAS2",3.65e-19,9.02e-22,1.13033514
