"","Name","adj.P.Val","P.Value","logFC"
"47","LMNB1",4.12e-19,1.04e-21,0.94495448
"48","DTX3L",5.71e-19,1.47e-21,0.59516651
"49","DYNLT1",6.71e-19,1.77e-21,0.69435459
"50","IRF7",7.01e-19,1.88e-21,1.14056455
"51","GRN",8.75e-19,2.4e-21,0.54696758
"52","STAC3",1.29e-18,3.61e-21,0.77130676
"53","HIST1H4D",1.31e-18,3.72e-21,0.8010533
"54","AIM2",2.14e-18,6.2e-21,1.44790463
"55","ANXA3",2.56e-18,7.57e-21,1.74139071
"56","SPATS2L",3.24e-18,9.93e-21,1.53921468
"57","TNFSF13B",3.97e-18,1.24e-20,1.05705507
"58","CHMP5",4.31e-18,1.37e-20,0.64912488
"59","FCER1G",4.56e-18,1.47e-20,0.60065114
"60","BST2",4.82e-18,1.58e-20,1.01574486
"61","HIST1H2BM",6.51e-18,2.17e-20,0.84441628
"62","KLRB1",6.52e-18,2.22e-20,-1.05151586
"63","SLC26A8",6.52e-18,2.24e-20,1.57379304
"64","TLR5",7.62e-18,2.66e-20,1.04997929
"65","FLVCR2",8.04e-18,2.85e-20,0.87587466
"66","UBE2L6",8.95e-18,3.22e-20,0.68789538
"67","HERC5",9.39e-18,3.43e-20,1.93816748
"68","SERPING1",1.06e-17,3.94e-20,2.00354511
"69","IFIT5",1.32e-17,4.98e-20,0.9036854
"70","SORT1",1.33e-17,5.06e-20,1.23345276
"71","S100A9",3.06e-17,1.23e-19,0.9319838
"72","RTP4",3.06e-17,1.23e-19,1.3960264
"73","ZBP1",3.71e-17,1.52e-19,1.25999625
"74","FCRL3",5.72e-17,2.4e-19,-0.83570786
"75","EPN2",6.08e-17,2.58e-19,-0.51192757
"76","TRIM22",9e-17,3.87e-19,0.73050319
"77","IFI35",1.32e-16,5.75e-19,0.78936688
"78","UGT2B11",1.49e-16,6.65e-19,-1.18211821
"79","NRCAM",1.61e-16,7.35e-19,-0.59122725
"80","CDC42EP3",1.61e-16,7.43e-19,0.69262984
"81","MAP2K6",2.45e-16,1.15e-18,1.18427886
"82","STAB1",2.63e-16,1.24e-18,0.82630983
"83","SAT1",3.03e-16,1.45e-18,0.51491632
"84","S100A12",4.19e-16,2.03e-18,1.10949175
"85","TOR1B",4.64e-16,2.29e-18,0.83612413
"86","S100A11",4.78e-16,2.39e-18,0.57747437
"87","ZNF438",7.08e-16,3.65e-18,0.87392371
"88","OTOF",8.63e-16,4.5e-18,1.28193482
"89","LGALS9",1.09e-15,5.82e-18,0.67895388
"90","IL5RA",1.27e-15,6.8e-18,-1.17520636
"91","BCL2A1",1.42e-15,7.71e-18,1.03407794
"92","TNFAIP6",1.42e-15,7.78e-18,1.26515684
"93","IFIH1",1.65e-15,9.16e-18,0.99979251
"94","SLC24A4",1.73e-15,9.78e-18,0.87077389
"95","TDRD7",1.87e-15,1.06e-17,0.77108945
"96","DHX58",2.17e-15,1.26e-17,1.07329929
"97","BAG1",2.82e-15,1.65e-17,-1.10861156
"98","NTNG2",2.93e-15,1.73e-17,0.98110184
"99","SEMA4A",3.01e-15,1.8e-17,0.69811541
"100","ADAM28",3.86e-15,2.33e-17,-0.8321439
"101","FCAR",3.9e-15,2.37e-17,1.20073961
"102","CARD16",4.38e-15,2.68e-17,0.52354679
"103","MS4A4A",4.7e-15,2.93e-17,1.25610369
"104","JPT1",4.76e-15,2.99e-17,0.53399237
"105","ADGRE3",5.1e-15,3.24e-17,-1.00070173
"106","DYSF",5.35e-15,3.42e-17,1.20689978
"107","LAP3",5.68e-15,3.66e-17,1.03145559
"108","BLVRA",6.31e-15,4.1e-17,0.79245166
"109","CEACAM1",7.13e-15,4.67e-17,1.31115726
"110","LY96",8.93e-15,6e-17,1.16944955
"111","LILRA5",9.1e-15,6.17e-17,0.94637381
"112","C2",9.64e-15,6.6e-17,0.85366946
"113","CLEC4D",9.64e-15,6.63e-17,1.26580039
"114","PARP12",1.04e-14,7.23e-17,0.57549837
"115","HMGB2",1.09e-14,7.63e-17,0.68511619
"116","LILRB4",1.16e-14,8.17e-17,0.55353805
"117","SIGLEC8",1.34e-14,9.53e-17,-1.04799272
"118","SAMD9",1.49e-14,1.07e-16,0.54253255
"119","CD274",1.58e-14,1.13e-16,1.19448318
"120","RNF213",2.16e-14,1.57e-16,0.57447484
"121","TIMP1",2.55e-14,1.86e-16,0.65471319
"122","C3AR1",2.64e-14,1.95e-16,1.16485849
"123","HERC6",2.75e-14,2.04e-16,0.93903763
"124","GBA",3.14e-14,2.38e-16,0.57827828
"125","ADGRG5",3.16e-14,2.42e-16,-0.56083195
"126","SERPINA1",3.24e-14,2.49e-16,0.85178883
"127","DTL",3.36e-14,2.6e-16,0.74171605
"128","MCEMP1",3.66e-14,2.85e-16,1.55350994
"129","LOC100419583",5.2e-14,4.08e-16,0.53532791
"130","CD177",5.79e-14,4.58e-16,2.03771721
"131","IFIT2",5.95e-14,4.73e-16,1.23345101
"132","HELZ2",6.13e-14,4.91e-16,0.92256927
"133","TIMP2",6.42e-14,5.18e-16,0.62831879
"134","RRM2",7.94e-14,6.49e-16,0.84129077
"135","CASP1",8.01e-14,6.59e-16,0.69452822
"136","ACSL1",9.08e-14,7.52e-16,1.07696643
"137","C19orf38",9.22e-14,7.68e-16,0.57939624
"138","RHOU",9.72e-14,8.16e-16,0.56430893
"139","PFKFB3",9.72e-14,8.2e-16,0.96062061
"140","FFAR2",1.02e-13,8.69e-16,1.13053352
"141","CACNA1E",1.2e-13,1.02e-15,1.26793851
"142","CCNA2",1.28e-13,1.11e-15,0.73313029
"143","MTF1",1.35e-13,1.17e-15,0.53824429
"144","AGTRAP",1.45e-13,1.27e-15,0.64056115
"145","PLK1",1.52e-13,1.34e-15,0.71521001
"146","CARD6",2.02e-13,1.8e-15,0.6606818
"147","PPP1R3B",2.09e-13,1.87e-15,1.19304979
"148","FGD4",2.24e-13,2.04e-15,0.73265437
"149","GNG5",2.35e-13,2.16e-15,0.52240016
"150","ANKRD22",2.45e-13,2.26e-15,1.68454497
"151","CD14",2.55e-13,2.37e-15,0.71775407
"152","LOC102723458",3.88e-13,3.65e-15,0.85844881
"153","STAT1",3.88e-13,3.67e-15,0.6808549
"154","SPTLC2",3.91e-13,3.72e-15,0.66167753
"155","AURKB",3.92e-13,3.75e-15,0.53935559
"156","CD163",4.19e-13,4.03e-15,0.94936885
"157","MAPK14",4.66e-13,4.54e-15,0.72494111
"158","NLRC4",5.28e-13,5.16e-15,0.95424307
"159","PLAC4",6.64e-13,6.57e-15,-0.57527398
"160","CHEK1",7.68e-13,7.63e-15,0.71210773
"161","FCER1A",8.1e-13,8.19e-15,-0.73006881
"162","CXCR5",8.45e-13,8.63e-15,-0.50769149
"163","BATF",1.16e-12,1.22e-14,0.53869242
"164","ALOX15",1.24e-12,1.31e-14,-0.77048555
"165","SMPD3",1.78e-12,1.92e-14,-0.56551572
"166","UPP1",1.9e-12,2.05e-14,0.58112647
"167","MMP8",2.05e-12,2.23e-14,2.04064698
"168","CNIH4",2.25e-12,2.46e-14,0.75336256
"169","ST3GAL4",2.25e-12,2.47e-14,0.88474737
"170","HK3",2.25e-12,2.48e-14,1.04872246
"171","KIF1B",2.48e-12,2.76e-14,1.04879388
"172","ADAP2",2.5e-12,2.8e-14,0.57670639
"173","CD59",2.5e-12,2.81e-14,0.76520952
"174","KCNJ2",2.8e-12,3.16e-14,1.0592869
"175","VCAN",3.32e-12,3.79e-14,0.641533
"176","OR52K1",3.45e-12,3.95e-14,0.90984868
"177","SERPINB1",3.57e-12,4.13e-14,0.70053957
"178","PLBD1",3.61e-12,4.2e-14,0.86205354
"179","DDAH2",3.66e-12,4.27e-14,0.61926483
"180","SLC2A3",4.34e-12,5.11e-14,0.8944983
"181","BANK1",4.52e-12,5.36e-14,-0.61763374
"182","CHI3L1",4.92e-12,5.9e-14,-1.19431711
"183","CASS4",6.16e-12,7.52e-14,-0.55086678
"184","TPX2",6.78e-12,8.38e-14,0.59270283
"185","RPS6KA5",7.25e-12,9.01e-14,-0.5753173
"186","TRIM21",7.68e-12,9.66e-14,0.51384451
"187","CLC",7.87e-12,9.94e-14,-1.28256941
"188","SIGLEC5",8.14e-12,1.03e-13,0.90572263
"189","TBC1D2",8.29e-12,1.06e-13,0.60409856
"190","MT2A",8.86e-12,1.13e-13,1.41124483
"191","B4GALT5",9.4e-12,1.21e-13,0.8517641
"192","CLEC7A",9.85e-12,1.28e-13,0.78279223
"193","OSCAR",9.87e-12,1.28e-13,0.52677077
"194","PTGDR",1.01e-11,1.31e-13,-0.68116187
"195","CD22",1.03e-11,1.35e-13,-0.62657738
"196","HIST1H1B",1.34e-11,1.77e-13,0.62464619
"197","ACOT9",1.36e-11,1.8e-13,0.62875336
"198","ARHGEF11",1.39e-11,1.86e-13,0.57491241
"199","HIST1H3B",1.53e-11,2.06e-13,0.64475484
"200","CCR2",1.61e-11,2.17e-13,0.75455275
"201","MLKL",1.79e-11,2.43e-13,0.55822137
"202","NFIA",1.94e-11,2.65e-13,-0.76181023
"203","ADAM9",1.98e-11,2.72e-13,0.5291074
"204","SESN3",1.99e-11,2.74e-13,-0.58292525
"205","MEFV",2.15e-11,2.97e-13,0.53349488
"206","EIF3L",2.36e-11,3.3e-13,-0.5581453
"207","SBNO2",2.36e-11,3.3e-13,0.66152491
"208","VAMP5",2.53e-11,3.55e-13,0.53274457
"209","ODF3B",2.55e-11,3.59e-13,0.78633528
"210","GPR84",2.97e-11,4.23e-13,0.90450596
"211","LDLR",3.01e-11,4.31e-13,0.55159363
"212","FAM129B",3.04e-11,4.37e-13,0.56357105
"213","TBC1D9",3.33e-11,4.82e-13,-0.50745594
"214","HIST1H2BD",3.41e-11,4.95e-13,0.65791974
"215","TLR2",3.68e-11,5.38e-13,0.77818449
"216","ANXA2",3.96e-11,5.83e-13,0.6274886
"217","PLP2",4.14e-11,6.12e-13,0.57088945
"218","FGFBP2",4.24e-11,6.29e-13,-0.99273775
"219","PDZK1IP1",4.25e-11,6.32e-13,-0.68302434
"220","APOBEC3B",4.27e-11,6.4e-13,0.68476451
"221","SASH1",5.88e-11,8.91e-13,0.56891711
"222","TXN",6.84e-11,1.05e-12,0.52378697
"223","FUT7",6.84e-11,1.05e-12,0.87485185
"224","PCLAF",7.09e-11,1.09e-12,0.74282799
"225","SECTM1",7.65e-11,1.18e-12,0.75437907
"226","UNC93B1",8.12e-11,1.26e-12,0.50925269
"227","OPRL1",8.28e-11,1.29e-12,0.55942491
"228","CD68",8.29e-11,1.3e-12,0.55804499
"229","TLR8",9.15e-11,1.45e-12,0.79145836
"230","CDC6",1e-10,1.59e-12,0.62555829
"231","FCER2",1.02e-10,1.63e-12,-0.83834143
"232","FAM30A",1.03e-10,1.64e-12,-0.51457087
"233","MILR1",1.04e-10,1.68e-12,0.73477728
"234","MGAM2",1.18e-10,1.92e-12,1.02312935
"235","CCR5",1.2e-10,1.96e-12,0.72392364
"236","AZI2",1.27e-10,2.09e-12,0.57478135
"237","CAMP",1.27e-10,2.1e-12,0.93508096
"238","SLC11A1",1.39e-10,2.31e-12,0.65767148
"239","LIMK2",1.41e-10,2.35e-12,0.63397463
"240","KLF8",1.55e-10,2.61e-12,-0.50294761
"241","EXT1",1.56e-10,2.64e-12,0.55411297
"242","DDX58",1.58e-10,2.68e-12,0.67310925
"243","PTCH1",1.65e-10,2.83e-12,-0.6725481
"244","PML",1.66e-10,2.85e-12,0.73031997
"245","ZNF860",1.69e-10,2.91e-12,-0.51837967
"246","CKAP4",1.71e-10,2.96e-12,0.59851281
"247","MYBL1",2.14e-10,3.8e-12,-0.71535153
"248","SAMSN1",2.19e-10,3.89e-12,0.68932747
"249","PROK2",2.19e-10,3.92e-12,0.85370019
"250","MARC1",2.26e-10,4.05e-12,1.09880871
"251","SLC30A4",2.47e-10,4.46e-12,-0.52230977
"252","HPSE",2.84e-10,5.14e-12,0.73967849
"253","PLXDC2",2.89e-10,5.25e-12,0.51575474
"254","MSRB1",2.96e-10,5.42e-12,0.58056623
"255","MS4A6A",2.96e-10,5.44e-12,0.5025916
"256","RETN",3.23e-10,5.96e-12,1.25198443
"257","CYSTM1",3.36e-10,6.27e-12,0.76446103
"258","CLEC4A",3.38e-10,6.32e-12,0.50087297
"259","HAUS4",3.64e-10,6.86e-12,0.9086669
"260","SIGLEC9",3.68e-10,6.99e-12,0.77934747
"261","LIPC-AS1",3.69e-10,7.02e-12,0.81376649
"262","NLRP3",4.05e-10,7.75e-12,0.63340682
"263","RGL1",4.08e-10,7.87e-12,0.64366059
"264","CEACAM5",4.3e-10,8.35e-12,0.70001432
"265","ID3",4.42e-10,8.61e-12,-0.50815929
"266","IL1B",4.47e-10,8.74e-12,0.78451624
"267","NFIL3",4.99e-10,9.9e-12,0.81022164
"268","SLC16A6",5.95e-10,1.18e-11,0.68673288
"269","BBOF1",5.95e-10,1.19e-11,-0.92387747
"270","F5",6.04e-10,1.21e-11,0.92713431
"271","AP5B1",6.14e-10,1.24e-11,0.52633291
"272","PIK3R6",6.18e-10,1.25e-11,-0.58197239
"273","XRCC4",6.18e-10,1.25e-11,0.52708656
"274","HLA-DPB1",6.24e-10,1.27e-11,-0.55986219
"275","NCAM1",7.27e-10,1.49e-11,-0.61345505
"276","FAM8A1",7.64e-10,1.58e-11,0.56613346
"277","TOP2A",8.21e-10,1.71e-11,0.5536569
"278","CGAS",1.04e-09,2.21e-11,0.6440216
"279","GPR141",1.05e-09,2.24e-11,0.87663232
"280","VNN 1.00",1.1e-09,2.36e-11,1.32543955
"281","GBP1",1.1e-09,2.36e-11,0.7215442
"282","CAPG",1.12e-09,2.4e-11,0.55935585
"283","APOL6",1.13e-09,2.42e-11,0.51263944
"284","FCRL1",1.14e-09,2.46e-11,-0.50566368
"285","CES1",1.34e-09,2.92e-11,0.57262894
"286","ETS2",1.35e-09,2.96e-11,0.55102568
"287","SLC27A3",1.36e-09,2.97e-11,0.50544509
"288","FAM151B",1.38e-09,3.05e-11,0.58574839
"289","LILRA6",1.4e-09,3.1e-11,0.67787885
"290","TYMP",1.43e-09,3.18e-11,0.89508184
"291","OLFM4",1.56e-09,3.49e-11,1.73075874
"292","CASP5",1.61e-09,3.62e-11,1.11639887
"293","CPA3",1.74e-09,3.92e-11,-0.68920941
"294","DUSP3",1.75e-09,3.97e-11,0.56428857
"295","TCN1",1.77e-09,4.02e-11,0.94203996
"296","ETV7",1.89e-09,4.31e-11,0.98772161
"297","AQP9",1.92e-09,4.39e-11,0.68777462
"298","TM4SF1",2.13e-09,4.92e-11,-0.71732209
"299","HRH2",2.15e-09,4.98e-11,0.67425295
"300","FOLR3",2.27e-09,5.27e-11,1.05900707
"301","FAM198B",2.44e-09,5.69e-11,0.83302947
"302","MMP9",3.01e-09,7.15e-11,1.26891417
"303","FPR1",3.23e-09,7.72e-11,0.64745436
"304","C9orf84",3.69e-09,8.96e-11,0.79559026
"305","IRAK3",3.8e-09,9.27e-11,0.54986956
"306","SH2D1B",4.13e-09,1.01e-10,-0.76624714
"307","SLC2A14",4.17e-09,1.02e-10,0.94270139
"308","PFKFB4",4.34e-09,1.07e-10,0.65585361
"309","LIN7A",5.02e-09,1.25e-10,0.91605985
"310","JUNB",5.03e-09,1.25e-10,0.72000191
"311","DHRS13",5.04e-09,1.26e-10,0.64473569
"312","QPCT",5.68e-09,1.43e-10,0.95162996
"313","HRH4",6.16e-09,1.57e-10,-0.54266144
"314","HSPA6",6.41e-09,1.64e-10,0.63643648
"315","FPR2",6.45e-09,1.65e-10,0.71167218
"316","GALM",6.61e-09,1.7e-10,0.53126235
"317","KLRF1",6.66e-09,1.72e-10,-0.62724505
"318","OSBPL10",6.82e-09,1.77e-10,-0.5584978
"319","CCNB2",6.95e-09,1.82e-10,0.54557622
"320","KLRC3",7.21e-09,1.89e-10,-0.72299822
"321","FKBP5",7.3e-09,1.92e-10,0.60728758
"322","EFCAB2",7.38e-09,1.95e-10,0.71363446
"323","METTL9",7.39e-09,1.95e-10,0.50219154
"324","PLXNC1",7.61e-09,2.02e-10,0.5741029
"325","APOA2",7.68e-09,2.04e-10,0.67199576
"326","E2F8",7.74e-09,2.07e-10,0.56988759
"327","QSOX1",7.74e-09,2.08e-10,0.59160565
"328",NA,8.09e-09,2.19e-10,0.52118364
"329","BMX",8.25e-09,2.25e-10,0.9366439
"330","ANXA5",8.42e-09,2.3e-10,0.59101528
"331","JAZF1",8.88e-09,2.44e-10,-0.51229499
"332","CENPW",9.16e-09,2.52e-10,0.53942946
"333","TMEM150B",1.07e-08,2.99e-10,0.53991259
"334","PLB1",1.16e-08,3.3e-10,0.96151109
"335","MS4A4E",1.25e-08,3.57e-10,0.58060336
"336","NQO2",1.27e-08,3.62e-10,0.71371691
"337","CYP1B1",1.27e-08,3.65e-10,1.04919801
"338","KREMEN1",1.32e-08,3.8e-10,0.97798871
"339","RBP7",1.33e-08,3.82e-10,0.61585792
"340","EPB41L3",1.39e-08,4.03e-10,0.59362967
"341","FAM20A",1.46e-08,4.25e-10,0.77381815
"342","SLC22A4",1.5e-08,4.39e-10,0.55651389
"343","LILRB3",1.55e-08,4.53e-10,0.5773584
"344","TRGV9",1.55e-08,4.55e-10,-0.83353713
"345","PSTPIP2",1.69e-08,4.99e-10,0.87705106
"346","RALB",1.77e-08,5.23e-10,0.57626096
"347","GALNT14",2.19e-08,6.6e-10,1.10839432
"348","ALPL",2.73e-08,8.48e-10,1.13615637
"349","MSR1",2.91e-08,9.1e-10,0.50236359
"350","IL18R1",2.95e-08,9.22e-10,0.85413998
"351","BCL6",3.27e-08,1.03e-09,0.6443129
"352","PGD",3.64e-08,1.16e-09,0.65556628
"353","FOXM1",3.77e-08,1.21e-09,0.50608563
"354","TRIM5",4.3e-08,1.39e-09,0.5549272
"355","CHSY1",4.47e-08,1.46e-09,0.62805736
"356","TLR4",5.37e-08,1.76e-09,0.58979561
"357","GADD45A",5.39e-08,1.77e-09,0.82843054
"358","CARD17",6e-08,1.99e-09,0.87033839
"359","OR52K2",6.23e-08,2.08e-09,0.61210273
"360","MYOF",6.23e-08,2.08e-09,0.65057024
"361","LTF",6.33e-08,2.12e-09,1.11142246
"362","CRISPLD2",6.54e-08,2.2e-09,0.66621466
"363","SMTNL1",6.73e-08,2.28e-09,0.77894052
"364","PRRG4",7.59e-08,2.6e-09,0.75385661
"365","ASPH",7.81e-08,2.69e-09,0.74961389
"366","P2RX7",7.85e-08,2.72e-09,0.50075845
"367","C9orf72",8.06e-08,2.8e-09,0.62316774
"368","TLR1",8.35e-08,2.91e-09,0.70681641
"369","NFE2",8.73e-08,3.06e-09,0.5574944
"370","PNPLA1",8.75e-08,3.07e-09,0.83921719
"371","PITHD1",9.13e-08,3.24e-09,-0.6597913
"372","LRRN1",1.02e-07,3.64e-09,0.69028601
"373","MGST1",1.04e-07,3.74e-09,0.66952627
"374","ROPN1L",1.11e-07,3.99e-09,0.82555497
"375","FAM46A",1.14e-07,4.13e-09,0.5052858
"376","CREB5",1.33e-07,4.87e-09,0.742841
"377","ITGAM",1.61e-07,5.97e-09,0.57458468
"378","DNAH17",1.65e-07,6.13e-09,0.7610351
"379","ADAMTSL4",1.7e-07,6.34e-09,0.54769717
"380","SIPA1L2",1.82e-07,6.8e-09,0.6992254
"381","KCNJ15",1.92e-07,7.23e-09,0.68228111
"382","NAMPT",1.95e-07,7.36e-09,0.60218453
"383","ENKUR",2.16e-07,8.25e-09,-0.65877669
"384","ABHD12B",2.72e-07,1.07e-08,0.85380534
"385","CLEC4C",2.86e-07,1.13e-08,-0.50216734
"386","CEACAM3",3.08e-07,1.22e-08,0.59683278
"387","SPI1",3.2e-07,1.27e-08,0.50596508
"388","IL15",3.32e-07,1.33e-08,0.56250994
"389","ALOX5",3.34e-07,1.34e-08,0.52654075
"390","C5AR1",3.61e-07,1.46e-08,0.51202615
"391","WDFY3",3.67e-07,1.49e-08,0.64167565
"392","MERTK",4.1e-07,1.68e-08,0.53026596
"393","GLT1D1",4.23e-07,1.74e-08,0.63468058
"394","CR1",4.4e-07,1.82e-08,0.54326187
"395","BATF2",4.43e-07,1.84e-08,0.55736394
"396","PGAP1",4.52e-07,1.88e-08,0.54955179
"397","CST7",4.81e-07,2e-08,0.78044514
"398","GSPT1",4.92e-07,2.06e-08,-0.53651459
"399","PPBP",5.07e-07,2.13e-08,-0.58440231
"400","CD200",5.64e-07,2.39e-08,-0.52201079
"401","CYSLTR2",6.31e-07,2.73e-08,-0.55946039
"402","NECAB1",6.39e-07,2.77e-08,0.68839312
"403","PYGL",1e-06,4.61e-08,0.63575549
"404","IFITM2",1.12e-06,5.24e-08,0.64012921
"405","HLA-DOB",1.18e-06,5.53e-08,-0.515396
"406","RBM47",1.31e-06,6.22e-08,0.62985209
"407","CA4",1.39e-06,6.6e-08,0.56790377
"408","TSHZ3",1.69e-06,8.26e-08,0.60626327
"409","LINC01270",1.81e-06,8.94e-08,0.67262669
"410","RNF175",1.83e-06,9.02e-08,0.59306551
"411","NMI",1.88e-06,9.29e-08,0.53814229
"412","PNPT1",2.38e-06,1.22e-07,0.51941026
"413","GPAT3",2.4e-06,1.23e-07,0.50995432
"414","C1orf21",2.69e-06,1.4e-07,-0.56457798
"415","LAMP3",2.84e-06,1.49e-07,0.77085315
"416","RPIA",2.89e-06,1.52e-07,-0.58373842
"417","VWCE",3.27e-06,1.73e-07,-0.51251101
"418","HP",3.36e-06,1.79e-07,0.51862317
"419","CLEC5A",3.44e-06,1.84e-07,0.65300581
"420","MANSC1",3.47e-06,1.87e-07,0.65312131
"421","TSPAN5",3.99e-06,2.16e-07,-0.54380416
"422","ARG1",4.07e-06,2.22e-07,0.56875715
"423","LGALS12",4.14e-06,2.27e-07,-0.53205324
"424","CXCL16",4.57e-06,2.56e-07,0.50867121
"425","KLRD1",4.87e-06,2.74e-07,-0.53789858
"426","ARHGEF40",4.92e-06,2.78e-07,0.53127825
"427","KLHL2",6.08e-06,3.54e-07,0.53115523
"428","BPI",6.43e-06,3.77e-07,0.79897728
"429","BCL3",6.64e-06,3.92e-07,0.53630736
"430","MAP3K7CL",6.81e-06,4.04e-07,-0.57971963
"431","MPO",7.05e-06,4.21e-07,0.77981393
"432","SLC8A1",7.06e-06,4.22e-07,0.58348609
"433","PADI2",7.12e-06,4.26e-07,0.7101895
"434","SULT1B1",8.12e-06,5e-07,0.62164299
"435","CSNK1A1L",1.11e-05,7.1e-07,0.52647124
"436","FAM157A",1.26e-05,8.25e-07,0.60178861
"437","SRGAP2",1.32e-05,8.64e-07,0.54219505
"438","TMEM144",1.38e-05,9.15e-07,0.52177685
"439","GRB10",1.61e-05,1.08e-06,0.53100637
"440","HGF",1.62e-05,1.09e-06,0.5108119
"441","ADGRG1",1.63e-05,1.1e-06,-0.66264445
"442","GCA",1.91e-05,1.32e-06,0.66462569
"443","C20orf24",1.98e-05,1.37e-06,0.51088116
"444","HESX1",2.04e-05,1.41e-06,0.52486183
"445","PADI4",2.07e-05,1.45e-06,0.60699691
"446","TTTY15",2.34e-05,1.67e-06,-0.97359064
"447","SHTN1",2.71e-05,1.97e-06,0.54106112
"448","CEACAM8",2.73e-05,1.99e-06,0.82448843
"449","SHISA4",2.9e-05,2.12e-06,-0.55758352
"450","VNN 2.00",3.6e-05,2.72e-06,0.50865507
"451","SMPDL3A",3.74e-05,2.85e-06,0.56439716
"452","PGLYRP1",4.11e-05,3.18e-06,0.6020478
"453","HCAR2",4.43e-05,3.45e-06,0.58042048
"454","CHIT1",4.49e-05,3.51e-06,0.55067366
"455","ELANE",4.49e-05,3.51e-06,0.65768006
"456","ENTPD7",4.9e-05,3.87e-06,0.50025902
"457","KDM5D",7.2e-05,5.94e-06,-0.75665614
"458","LIPN",7.67e-05,6.39e-06,0.54781063
"459","RTN1",8.82e-05,7.48e-06,-0.5367823
"460","CMTM1",9.21e-05,7.89e-06,0.50396382
"461","ADGRG3",0.000106,9.24e-06,0.57081534
"462","ATP8B4",0.000109,9.5e-06,0.51822411
"463","DGAT2",0.000116,1.02e-05,0.59502347
"464","CDA",0.000129,1.16e-05,0.52645737
"465","FLOT2",0.000181,1.73e-05,0.51007982
"466","DDX3Y",0.000187,1.79e-05,-1.32734735
"467","CLEC4E",0.000201,1.94e-05,0.60579959
"468","HORMAD1",0.000314,3.21e-05,0.64015738
"469","UTY",0.000324,3.32e-05,-1.16895627
"470","RPS4Y1",0.00034,3.51e-05,-1.73428524
"471","LTB4R",0.000404,4.27e-05,0.55965086
"472","ZFY",0.000438,4.66e-05,-0.6146654
"473","NT5C3A",0.000545,5.96e-05,0.50471716
"474","DSC2",0.000785,9.06e-05,0.52429899
"475","RNF182",0.00127,0.000159,-0.88964624
"476","MGAM",0.00196,0.000263,0.56982625
"477","EIF1AY",0.00415,0.00063,-1.28749366
"478","TUBB2A",0.0167,0.00332,-0.91793032
"479","IL1R2",0.018,0.00365,0.58494145
