"","Name","adj.P.Val","P.Value","logFC"
"53","",3.75e-08,1.83e-10,-0.6803758
"54","OASL",4.31e-08,2.14e-10,2.1520635
"55","SHKBP1",4.37e-08,2.22e-10,0.9283278
"56","PARP9",4.37e-08,2.25e-10,1.2325614
"57","SMA4",4.71e-08,2.47e-10,1.7597963
"58","",5.55e-08,2.96e-10,1.7203815
"59","TYMP",5.71e-08,3.1e-10,1.7553185
"60","OAS1",5.95e-08,3.3e-10,1.7887606
"61","EIF2D",5.95e-08,3.34e-10,-0.6896656
"62","MTMR3",7.55e-08,4.3e-10,0.6753405
"63","ADAR",8.39e-08,4.87e-10,0.8249826
"64","EEF1B2",8.39e-08,4.94e-10,-0.5294307
"65","HPSE",8.39e-08,5.01e-10,0.9957264
"66","STOM",1.05e-07,6.35e-10,1.2220102
"67","EIF2AK2",1.11e-07,6.91e-10,1.3152255
"68","TNFSF13B",1.11e-07,7.01e-10,1.3790478
"69","",1.11e-07,7.02e-10,1.5217733
"70","EEF1B2",1.18e-07,7.56e-10,-0.936255
"71","MEGF6",1.2e-07,7.82e-10,-0.9624444
"72","PFKFB3",1.23e-07,8.11e-10,1.1110023
"73","SAMD9L",1.29e-07,8.64e-10,1.2967291
"74","EPSTI1",1.4e-07,9.48e-10,1.4548649
"75","MATK",1.57e-07,1.08e-09,-1.0287966
"76","",1.57e-07,1.09e-09,-0.8579648
"77","PDLIM7",1.97e-07,1.4e-09,0.916037
"78","CYSTM1",1.97e-07,1.41e-09,1.5530061
"79","MARK3",1.99e-07,1.44e-09,0.7520089
"80","OAS3",1.99e-07,1.46e-09,1.9595313
"81","",2.04e-07,1.51e-09,-0.697501
"82","SH3GLB1",2.25e-07,1.69e-09,0.8410381
"83","RHOG",2.26e-07,1.72e-09,0.6331813
"84","IFI30",2.36e-07,1.84e-09,1.0182378
"85","USB1",2.36e-07,1.85e-09,0.9507349
"86","SLC22A4",2.36e-07,1.86e-09,1.1463112
"87","",2.36e-07,1.88e-09,-0.6676388
"88","AIM2",2.36e-07,1.9e-09,1.7921809
"89","RNF19B",2.61e-07,2.13e-09,1.0205798
"90","ZAK",2.69e-07,2.23e-09,1.0552278
"91","",2.69e-07,2.24e-09,-0.828398
"92","LOC100419583",2.96e-07,2.51e-09,1.0031953
"93","LUC7L",2.96e-07,2.52e-09,-0.6869562
"94","ZC3HAV1",3.04e-07,2.61e-09,0.8702384
"95","EIF3L",3.2e-07,2.78e-09,-0.5076884
"96","GYG1",3.26e-07,2.86e-09,1.3106482
"97","SERPINA1",3.3e-07,2.93e-09,1.1460309
"98","FCGBP",3.33e-07,2.98e-09,-1.2096171
"99","STXBP2",3.37e-07,3.05e-09,1.1847929
"100","TRIM21",3.45e-07,3.15e-09,0.7878118
"101","SERPINB1",3.66e-07,3.38e-09,0.9821027
"102","HK3",3.76e-07,3.5e-09,1.310964
"103","",4.01e-07,3.77e-09,-1.4219839
"104","STAT3",4.13e-07,3.92e-09,0.8117957
"105","S100A8",4.19e-07,4.01e-09,0.6936597
"106","STAT3",4.22e-07,4.08e-09,0.735678
"107","C19orf38",4.22e-07,4.15e-09,1.3019227
"108","CYBA",4.22e-07,4.16e-09,0.6570691
"109","HERC6",4.23e-07,4.24e-09,1.3999183
"110","ZYX",4.23e-07,4.25e-09,0.8177282
"111","PFKFB3",4.66e-07,4.74e-09,1.286433
"112","SLC41A3",4.66e-07,4.77e-09,-0.5136119
"113","HADHA",4.87e-07,5.02e-09,-0.7126577
"114","SLC24A4",5.26e-07,5.47e-09,1.0154061
"115","WNK1",5.63e-07,5.91e-09,1.407958
"116","ALDOA",6.25e-07,6.61e-09,0.6364207
"117","",6.45e-07,6.88e-09,-0.8260329
"118","RPL13P5",7.36e-07,7.92e-09,-1.049872
"119","STAT1",7.44e-07,8.07e-09,1.1328701
"120","C9orf72",7.5e-07,8.21e-09,1.048318
"121","ADGRG3",7.86e-07,8.67e-09,1.8119906
"122","SLC22A4",7.9e-07,8.79e-09,1.204938
"123","LILRA6",8.13e-07,9.12e-09,1.3983972
"124","FCER1A",8.17e-07,9.23e-09,-1.4989872
"125","TXN",8.58e-07,9.79e-09,0.8009516
"126","CARD16",8.58e-07,9.85e-09,1.1316957
"127","DYSF",9.39e-07,1.09e-08,1.4608012
"128","S100A4",9.39e-07,1.1e-08,0.7704474
"129","XAF1",9.39e-07,1.1e-08,1.3074454
"130","DDX60",9.52e-07,1.13e-08,1.2514387
"131","",9.67e-07,1.16e-08,-0.5466253
"132","HM13",9.67e-07,1.16e-08,0.9498378
"133","",9.92e-07,1.2e-08,1.5769369
"134","IFIT3",9.96e-07,1.22e-08,2.2473822
"135","SP100",1.04e-06,1.28e-08,0.8561883
"136","ISG15",1.06e-06,1.32e-08,1.8734548
"137","PAFAH2",1.13e-06,1.41e-08,-0.8338499
"138","MX2",1.22e-06,1.56e-08,1.178252
"139","CD96",1.29e-06,1.67e-08,-0.7496825
"140","VPS51",1.29e-06,1.67e-08,-0.5100667
"141","IRF9",1.3e-06,1.7e-08,0.5988986
"142","RHOU",1.34e-06,1.76e-08,0.8247626
"143","IFIT1",1.35e-06,1.79e-08,2.1369324
"144","GBA",1.37e-06,1.83e-08,1.0061438
"145","GRINA",1.38e-06,1.86e-08,0.9126249
"146","SP110",1.41e-06,1.91e-08,0.6973189
"147","S100A4",1.42e-06,1.94e-08,0.7567659
"148","TYMP",1.52e-06,2.09e-08,0.9208487
"149","BCL3",1.54e-06,2.12e-08,0.8798328
"150","EXT1",1.6e-06,2.22e-08,0.9181991
"151","MAPK14",1.66e-06,2.32e-08,1.7001141
"152","NENF",1.67e-06,2.37e-08,-0.5258947
"153","TRIM25",1.67e-06,2.37e-08,0.8878342
"154","KLRB1",1.67e-06,2.39e-08,-0.9936749
"155","",1.73e-06,2.49e-08,1.0193628
"156","OSTF1",1.77e-06,2.57e-08,0.5800745
"157","MYBPC3",1.77e-06,2.58e-08,0.9998278
"158","RAB24",1.91e-06,2.81e-08,1.1241525
"159","SLC25A42",1.92e-06,2.84e-08,-0.5447508
"160","SAT1",1.93e-06,2.88e-08,0.7134893
"161","IFIT3",1.98e-06,2.97e-08,2.105963
"162","EIF3L",1.99e-06,3e-08,-0.54407
"163","CTNNA1",2.02e-06,3.07e-08,0.7388937
"164","PGS1",2.03e-06,3.1e-08,0.970635
"165","",2.03e-06,3.12e-08,-0.8449245
"166","HMGB2",2.03e-06,3.13e-08,0.7908158
"167","SLC41A3",2.03e-06,3.16e-08,-0.8146034
"168","ZMAT3",2.09e-06,3.27e-08,-0.6234012
"169","PYCARD",2.1e-06,3.31e-08,0.6090534
"170","MXD4",2.12e-06,3.36e-08,-0.5547253
"171","IRF7",2.28e-06,3.63e-08,1.3704151
"172","CD96",2.33e-06,3.73e-08,-0.7401251
"173","TIMP1",2.36e-06,3.8e-08,0.7691219
"174","RPL21",2.43e-06,3.94e-08,-0.6559623
"175","",2.45e-06,3.99e-08,-0.8738708
"176","IRAK3",2.71e-06,4.44e-08,0.962043
"177","HDC",2.71e-06,4.46e-08,-1.49291
"178","",2.72e-06,4.5e-08,0.5692216
"179","RETN",2.77e-06,4.67e-08,2.081966
"180","HINT3",2.77e-06,4.67e-08,0.8322403
"181","LRRFIP2",2.77e-06,4.68e-08,0.6000709
"182","KCNJ2",2.77e-06,4.69e-08,1.2120005
"183","C9orf72",2.77e-06,4.72e-08,1.3231519
"184","TYSND1",2.8e-06,4.79e-08,-0.5802654
"185","TRIM38",2.83e-06,4.86e-08,0.8764138
"186","IGF2BP3",3.03e-06,5.25e-08,0.8402474
"187","CALML4",3.03e-06,5.25e-08,0.7628135
"188","MSL3",3.13e-06,5.47e-08,0.5082042
"189","ANXA3",3.17e-06,5.56e-08,1.8111666
"190","PLCH2",3.27e-06,5.76e-08,-0.9340388
"191","",3.34e-06,5.95e-08,1.1644388
"192","OSCAR",3.34e-06,5.97e-08,1.1284436
"193","",3.34e-06,5.98e-08,-0.5292273
"194","DNAJC13",3.37e-06,6.06e-08,0.6173195
"195","SGK1",3.37e-06,6.1e-08,-0.7305041
"196","JUNB",3.43e-06,6.24e-08,1.0329719
"197","RGL1",3.43e-06,6.3e-08,1.3371631
"198","",3.52e-06,6.49e-08,-0.5517493
"199","ARG1",3.53e-06,6.55e-08,2.1159372
"200","",3.54e-06,6.59e-08,-0.7753875
"201","UHRF1",3.59e-06,6.72e-08,1.0878434
"202","ALDOA",3.8e-06,7.19e-08,1.2216024
"203","COX19",3.8e-06,7.19e-08,-0.5320929
"204","ZBTB42",3.98e-06,7.58e-08,-0.9761205
"205","RGL4",3.98e-06,7.59e-08,1.126592
"206","EIF4E3",4.19e-06,8.07e-08,0.8826239
"207","POLR1E",4.59e-06,8.87e-08,-0.5923867
"208","HLA-A",4.65e-06,9.03e-08,0.5037823
"209","MRPS18C",4.7e-06,9.18e-08,0.5742203
"210","TNFAIP6",4.7e-06,9.22e-08,1.3775615
"211","DDX58",4.86e-06,9.59e-08,1.1213516
"212","",5.01e-06,9.91e-08,-0.8214945
"213","MT2A",5.05e-06,1e-07,1.3219858
"214","LGALS9B",5.06e-06,1.01e-07,1.1918093
"215","RALB",5.09e-06,1.02e-07,0.8127492
"216","B4GALT5",5.09e-06,1.03e-07,0.9629104
"217","ANXA2",5.1e-06,1.03e-07,0.9106954
"218","LRCH4",5.14e-06,1.05e-07,-0.5218646
"219","CEACAM1",5.26e-06,1.07e-07,1.7888049
"220","CEBPB",5.55e-06,1.14e-07,0.7602704
"221","",5.65e-06,1.17e-07,-0.6684347
"222","",5.7e-06,1.18e-07,-0.8614548
"223","TIMP2",5.9e-06,1.23e-07,0.7575453
"224","TRIM22",5.9e-06,1.23e-07,0.9494089
"225","",5.9e-06,1.24e-07,0.7363748
"226","",6.07e-06,1.28e-07,0.73397
"227","",6.23e-06,1.33e-07,0.8247995
"228","FABP5",6.23e-06,1.33e-07,0.8611728
"229","MMP9",6.25e-06,1.34e-07,2.3066047
"230","NABP1",6.29e-06,1.36e-07,0.7259393
"231","SCO2",6.29e-06,1.36e-07,1.0686275
"232","NBN",6.29e-06,1.37e-07,0.6925734
"233","",6.63e-06,1.45e-07,-1.4778278
"234","",6.65e-06,1.46e-07,-0.5163528
"235","EEF1A1",6.68e-06,1.48e-07,-0.6199394
"236","IL18R1",6.68e-06,1.48e-07,1.2878279
"237","ODF3B",6.68e-06,1.49e-07,0.9996522
"238","P4HTM",6.96e-06,1.55e-07,-0.7167366
"239","FBXO6",7.02e-06,1.57e-07,1.2100302
"240","BASP1",7.1e-06,1.6e-07,0.9836113
"241","SBF2",7.11e-06,1.61e-07,0.8791961
"242","CEACAM1",7.11e-06,1.62e-07,1.4193939
"243","CD14",7.11e-06,1.62e-07,1.0269728
"244","",7.26e-06,1.66e-07,-1.2433464
"245","RPL10A",7.62e-06,1.75e-07,-0.8675554
"246","",7.72e-06,1.78e-07,-0.5764767
"247","",7.77e-06,1.8e-07,-0.7064872
"248","PARP14",7.77e-06,1.81e-07,1.0099307
"249","CRELD1",7.81e-06,1.83e-07,-0.6122285
"250","STMN3",7.81e-06,1.84e-07,-0.6056121
"251","LILRB3",7.81e-06,1.85e-07,0.893427
"252","PLIN3",7.84e-06,1.87e-07,0.5371238
"253","",8.02e-06,1.92e-07,-0.5016838
"254","SEMA4A",8.02e-06,1.92e-07,0.9228853
"255","PCNX1",8.18e-06,1.97e-07,0.6172281
"256","SPATS2L",8.22e-06,1.99e-07,1.5465567
"257","TPX2",8.28e-06,2.01e-07,0.9147286
"258","",8.44e-06,2.05e-07,1.2207367
"259","CCDC106",8.72e-06,2.13e-07,-0.9190637
"260","MEFV",8.86e-06,2.17e-07,0.9655163
"261","TXN",8.99e-06,2.22e-07,0.6762642
"262","TPI1",8.99e-06,2.23e-07,0.5770817
"263","CKAP4",9.02e-06,2.24e-07,1.1405755
"264","IFI35",9.51e-06,2.38e-07,1.005996
"265","NT5C3A",9.63e-06,2.42e-07,0.9016084
"266","LGALS1",1.03e-05,2.6e-07,0.7351778
"267","LDLR",1.04e-05,2.65e-07,0.6723378
"268","PTPRJ",1.05e-05,2.68e-07,1.0192636
"269","SCNM1",1.05e-05,2.7e-07,0.5139866
"270","S100A6",1.08e-05,2.78e-07,0.7392056
"271","MX1",1.08e-05,2.78e-07,1.2673359
"272","ZBP1",1.09e-05,2.83e-07,1.195858
"273","",1.09e-05,2.84e-07,-0.6194273
"274","DDX60L",1.09e-05,2.85e-07,1.0310926
"275","LDLRAP1",1.1e-05,2.89e-07,-0.6667903
"276","PLBD1",1.13e-05,2.97e-07,1.0955457
"277","SAMD9",1.14e-05,3.01e-07,0.8603278
"278","ZDHHC12",1.15e-05,3.06e-07,0.6676911
"279","STX10",1.15e-05,3.06e-07,0.7595439
"280","GAPDH",1.15e-05,3.11e-07,0.5944423
"281","OSCAR",1.15e-05,3.11e-07,1.0060325
"282","AGTRAP",1.16e-05,3.15e-07,0.9430277
"283","MARCO",1.16e-05,3.16e-07,1.4201288
"284","PTK2B",1.16e-05,3.17e-07,0.8158808
"285","FAM159A",1.16e-05,3.17e-07,-0.8626252
"286","C3AR1",1.24e-05,3.41e-07,1.2858075
"287","SNRPN",1.26e-05,3.46e-07,-0.5113358
"288","RPL13",1.26e-05,3.48e-07,-0.570006
"289","XAF1",1.28e-05,3.54e-07,1.4448225
"290","",1.3e-05,3.61e-07,-0.6332818
"291","PHACTR2",1.34e-05,3.73e-07,0.9071093
"292","RPL5",1.34e-05,3.76e-07,-0.6258794
"293","EIF2B5",1.34e-05,3.78e-07,-0.6094802
"294","GRN",1.34e-05,3.78e-07,0.8390404
"295","FKBP5",1.41e-05,4e-07,0.8086009
"296","",1.41e-05,4.03e-07,-1.1242034
"297","",1.44e-05,4.11e-07,-0.7031659
"298","",1.44e-05,4.14e-07,-0.9007617
"299","",1.45e-05,4.16e-07,1.1043738
"300","BRI3",1.46e-05,4.22e-07,0.629012
"301","",1.47e-05,4.24e-07,-0.7534196
"302","",1.48e-05,4.31e-07,0.7547188
"303","SP1",1.49e-05,4.36e-07,0.5134231
"304","",1.49e-05,4.38e-07,-0.8221606
"305","DTX3L",1.51e-05,4.46e-07,1.0549248
"306","ACTR1B",1.51e-05,4.47e-07,-0.5342022
"307","GLRX",1.52e-05,4.51e-07,0.5194702
"308","CDCA5",1.56e-05,4.65e-07,1.1643998
"309","GAPDH",1.57e-05,4.68e-07,0.5539876
"310","TPM3",1.57e-05,4.7e-07,0.6216487
"311","POR",1.57e-05,4.71e-07,0.7440551
"312","",1.58e-05,4.79e-07,0.8365089
"313","OAS2",1.58e-05,4.81e-07,1.0722374
"314","SPI1",1.58e-05,4.82e-07,0.824766
"315","PINX1",1.58e-05,4.83e-07,0.605372
"316","MTMR3",1.58e-05,4.83e-07,0.7555801
"317","",1.58e-05,4.85e-07,-0.5896981
"318","CDK10",1.59e-05,4.91e-07,-0.583852
"319","BRSK1",1.62e-05,5.02e-07,0.940655
"320","IRF2",1.63e-05,5.07e-07,0.5739585
"321","",1.69e-05,5.26e-07,0.5130722
"322","OSM",1.69e-05,5.29e-07,1.1557719
"323","RITA1",1.8e-05,5.64e-07,-0.5813393
"324","PROK2",1.83e-05,5.77e-07,1.2417775
"325","TSPAN33",1.83e-05,5.78e-07,-0.8100613
"326","BCL11A",1.83e-05,5.78e-07,-0.651077
"327","DANCR",1.83e-05,5.81e-07,-0.6367114
"328","",1.86e-05,5.93e-07,0.5224693
"329","FFAR2",1.86e-05,5.94e-07,1.3364499
"330","CRISPLD2",1.86e-05,5.94e-07,1.2298489
"331","AKIRIN2",1.89e-05,6.06e-07,0.5257546
"332","BCAS4",1.91e-05,6.15e-07,-0.7244717
"333","PSMC1",1.94e-05,6.27e-07,0.5843947
"334","PHF11",1.96e-05,6.33e-07,0.5690714
"335","CASP1",2.03e-05,6.6e-07,0.7986681
"336","THEM6",2.03e-05,6.63e-07,-0.7336522
"337","PARP9",2.11e-05,6.91e-07,1.0569692
"338","TMEM261",2.15e-05,7.08e-07,-0.6692786
"339","",2.15e-05,7.1e-07,-1.1140063
"340","",2.16e-05,7.14e-07,-1.0848473
"341","NAPA",2.29e-05,7.64e-07,0.8740445
"342","",2.31e-05,7.72e-07,0.5602631
"343","",2.31e-05,7.74e-07,0.5814429
"344","",2.42e-05,8.13e-07,-0.6634439
"345","PTTG1",2.49e-05,8.42e-07,0.7220772
"346","",2.55e-05,8.66e-07,-1.1856265
"347","STAT1",2.56e-05,8.7e-07,0.83531
"348","SLC37A3",2.61e-05,8.97e-07,0.8745795
"349","NFKBIZ",2.61e-05,8.99e-07,0.5885703
"350","NSUN3",2.61e-05,9.01e-07,0.9502039
"351","OGFR",2.64e-05,9.11e-07,0.5745746
"352","ZC3HAV1",2.67e-05,9.26e-07,0.8112367
"353","SGK223",2.74e-05,9.5e-07,-0.5869639
"354","PLAC8",2.85e-05,9.91e-07,0.5721644
"355","",2.87e-05,1e-06,-0.677804
"356","IFIH1",2.93e-05,1.03e-06,1.1050445
"357","SORT1",2.94e-05,1.04e-06,0.8368369
"358","BACH2",2.97e-05,1.05e-06,-0.6682002
"359","AGFG1",2.99e-05,1.06e-06,0.9522237
"360","MARCKS",3.04e-05,1.08e-06,0.6471938
"361","",3.09e-05,1.1e-06,-0.6100907
"362","RNF126",3.11e-05,1.11e-06,-0.5027592
"363","TRAFD1",3.14e-05,1.13e-06,0.6904213
"364","FOLR3",3.14e-05,1.13e-06,1.6447689
"365","CPEB4",3.16e-05,1.14e-06,1.0950868
"366","TRIM5",3.17e-05,1.15e-06,0.857548
"367","",3.19e-05,1.16e-06,0.6393675
"368","IFNGR2",3.19e-05,1.16e-06,0.5696105
"369","MYD88",3.25e-05,1.19e-06,0.5990875
"370","ZMAT5",3.35e-05,1.23e-06,0.9275673
"371","MFSD3",3.39e-05,1.24e-06,-0.5593668
"372","RPS6KC1",3.39e-05,1.25e-06,0.6820899
"373","SAMSN1",3.39e-05,1.25e-06,0.8803325
"374","ACER3",3.53e-05,1.31e-06,0.670787
"375","HIST2H2AA4",3.58e-05,1.34e-06,0.9923835
"376","MS4A6A",3.7e-05,1.39e-06,0.7821445
"377","NCKAP5L",3.7e-05,1.4e-06,0.6659469
"378","CTSL",3.7e-05,1.4e-06,0.7895609
"379","",3.76e-05,1.43e-06,0.6469813
"380","PRKCZ",3.76e-05,1.43e-06,-0.7095921
"381","MANSC1",3.79e-05,1.45e-06,1.3649432
"382","EOMES",3.79e-05,1.45e-06,-0.9936803
"383","ATP6V0D1",3.94e-05,1.51e-06,0.6345017
"384","NFKB2",3.98e-05,1.53e-06,0.6643815
"385","FBN2",3.98e-05,1.53e-06,0.8879199
"386","VIM",4.06e-05,1.57e-06,0.610584
"387","HIST2H2AA3",4.07e-05,1.58e-06,0.9365927
"388","",4.13e-05,1.61e-06,-1.0483926
"389","ZDHHC19",4.17e-05,1.64e-06,2.001424
"390","DYNLT1",4.25e-05,1.67e-06,0.6904744
"391","ANG",4.25e-05,1.68e-06,0.8919718
"392","PTEN",4.28e-05,1.7e-06,0.5261504
"393","RILPL2",4.33e-05,1.72e-06,0.6005763
"394","",4.35e-05,1.74e-06,0.9084279
"395","GLS",4.35e-05,1.74e-06,-0.6326072
"396","LY96",4.39e-05,1.76e-06,0.8455578
"397","SULT1A3",4.39e-05,1.77e-06,0.7881217
"398","",4.39e-05,1.77e-06,1.2290484
"399","ZNF266",4.46e-05,1.8e-06,-0.6291295
"400","",4.47e-05,1.81e-06,-0.7377668
"401","PPP1R3D",4.48e-05,1.82e-06,0.8431867
"402","",4.56e-05,1.86e-06,0.6037605
"403","BCAS4",4.64e-05,1.89e-06,-0.6084974
"404","LILRB2",4.65e-05,1.9e-06,0.9644474
"405","HYAL2",4.75e-05,1.96e-06,1.1319947
"406","UNC93B1",4.77e-05,1.97e-06,0.6677037
"407","SP110",4.84e-05,2.01e-06,0.6337876
"408","KIAA0319L",4.86e-05,2.03e-06,0.6710442
"409","MEF2D",4.99e-05,2.09e-06,-0.6394163
"410","CD68",5.05e-05,2.12e-06,1.2986165
"411","SNORD13",5.32e-05,2.25e-06,-0.7384492
"412","TBC1D23",5.32e-05,2.26e-06,0.8670097
"413","",5.34e-05,2.27e-06,-0.5607714
"414","CYSLTR1",5.34e-05,2.27e-06,0.6969822
"415","MAP4K1",5.55e-05,2.38e-06,-0.7579626
"416","",5.56e-05,2.39e-06,-0.8445607
"417","CD14",5.71e-05,2.47e-06,0.6609201
"418","IFI16",5.74e-05,2.49e-06,0.6908505
"419","RALGPS1",5.74e-05,2.5e-06,-0.6996393
"420","RNF144A",5.74e-05,2.5e-06,-0.5979387
"421","CD7",5.76e-05,2.52e-06,-0.5392512
"422","",5.86e-05,2.57e-06,-0.6570161
"423","CHMP5",5.89e-05,2.59e-06,0.7397088
"424","ALPL",5.89e-05,2.59e-06,1.3343168
"425","PSMB8",5.9e-05,2.61e-06,0.675174
"426","",5.91e-05,2.61e-06,-0.8557733
"427","MSL3",5.97e-05,2.65e-06,0.6396328
"428","",5.99e-05,2.66e-06,-1.0526379
"429","H3F3C",6.13e-05,2.74e-06,0.6014317
"430","FLVCR2",6.14e-05,2.75e-06,0.6901946
"431","RHBDD1",6.19e-05,2.79e-06,-0.5130341
"432","",6.19e-05,2.79e-06,1.0638324
"433","CCR2",6.19e-05,2.79e-06,0.971417
"434","",6.38e-05,2.88e-06,1.4687328
"435","",6.38e-05,2.89e-06,-0.7863137
"436","MT1X",6.4e-05,2.91e-06,0.500607
"437","TP53I13",6.43e-05,2.92e-06,-0.5087475
"438","",6.49e-05,2.96e-06,-1.1003232
"439","SCAND1",6.64e-05,3.05e-06,0.7663171
"440","",6.64e-05,3.05e-06,-0.5822296
"441","ACTB",6.66e-05,3.07e-06,0.7878945
"442","PDZK1IP1",6.66e-05,3.08e-06,-1.2016696
"443","ARPC4",6.92e-05,3.22e-06,0.6290636
"444","",7.03e-05,3.28e-06,0.5834393
"445","SIRPD",7.03e-05,3.29e-06,0.9405475
"446","",7.03e-05,3.29e-06,-0.8500318
"447","CST7",7.08e-05,3.32e-06,1.1634788
"448","GBP1",7.12e-05,3.36e-06,1.1693191
"449","STK11IP",7.13e-05,3.37e-06,-0.514096
"450","PLXNC1",7.22e-05,3.42e-06,1.2498124
"451","HSPA1B",7.43e-05,3.53e-06,0.8194562
"452","SBNO2",7.43e-05,3.53e-06,0.7466451
"453","CAPS",7.52e-05,3.58e-06,-0.5256445
"454","RNF135",7.59e-05,3.62e-06,0.6001793
"455","RPL21P28",7.64e-05,3.65e-06,-0.9343893
"456","AQP9",7.71e-05,3.69e-06,0.8680636
"457","FAM13A",7.78e-05,3.73e-06,0.9482977
"458","ANKRD22",7.97e-05,3.83e-06,1.3213699
"459","PKIA",8.15e-05,3.92e-06,-0.7061318
"460","RBMS1",8.15e-05,3.93e-06,0.637408
"461","SGK1",8.31e-05,4.02e-06,-0.6303995
"462","CES1",8.31e-05,4.03e-06,1.4126895
"463","DRAM1",8.39e-05,4.08e-06,0.830454
"464","RRP7BP",8.56e-05,4.18e-06,0.5008662
"465","ITGAM",8.69e-05,4.26e-06,0.8288289
"466","NR1H2",8.69e-05,4.27e-06,0.5796916
"467","ANKRD22",8.71e-05,4.28e-06,1.5622441
"468","",8.77e-05,4.32e-06,0.9168714
"469","NLRP3",8.78e-05,4.34e-06,0.7644785
"470","",8.78e-05,4.34e-06,-0.6630959
"471","",8.84e-05,4.38e-06,-1.1747536
"472","",8.9e-05,4.42e-06,-0.7968268
"473","ANXA2P2",8.9e-05,4.43e-06,0.5131633
"474","CDK5RAP2",8.93e-05,4.45e-06,1.1111744
"475","UNC93B1",8.99e-05,4.49e-06,1.3485572
"476","CR1",9.05e-05,4.53e-06,1.5151858
"477","PELO",9.24e-05,4.65e-06,0.5842586
"478","NSMF",9.39e-05,4.77e-06,-0.72277
"479","PRDM11",9.39e-05,4.77e-06,-0.660017
"480","UPP1",9.5e-05,4.84e-06,0.7091643
"481","AP3M2",9.59e-05,4.89e-06,-0.5388562
"482","STAT3",9.64e-05,4.94e-06,0.5700005
"483","",9.81e-05,5.03e-06,-0.8594107
"484","PGD",9.94e-05,5.11e-06,0.8075005
"485","EIF4E3",9.97e-05,5.14e-06,0.7100419
"486","F5",0.000102,5.26e-06,1.212099
"487","AMT",0.000103,5.33e-06,-0.564397
"488","ACAD11",0.000103,5.36e-06,-0.6617199
"489","AIF1",0.000106,5.57e-06,0.7162274
"490","STK3",0.000106,5.59e-06,0.7191622
"491","ZNF385A",0.000108,5.73e-06,0.7854243
"492","TAP2",0.00011,5.8e-06,0.8118327
"493","FCN1",0.000111,5.88e-06,0.6156717
"494","",0.000112,5.94e-06,-1.0322565
"495","MFSD14A",0.000118,6.3e-06,0.5217799
"496","LGALS3BP",0.000118,6.33e-06,1.3589975
