"","Name","adj.P.Val","P.Value","logFC"
"1","IFI27",1.26e-19,1.14e-23,5.4738454
"2","SLC26A8",1.96e-12,3.54e-16,2.7556881
"3","IFITM1",3.58e-11,9.71e-15,1.1271023
"4","IFI6",1.12e-10,4.33e-14,2.5795844
"5","IFI44L",1.12e-10,5.05e-14,2.9661286
"6","PLSCR1",1.39e-10,7.53e-14,2.1807425
"7","CTSD",1.48e-10,9.36e-14,1.3601831
"8","IFITM3",2.23e-10,1.61e-13,2.1990031
"9","IFI44",4.57e-10,3.97e-13,2.1323737
"10","TLR5",4.57e-10,4.13e-13,1.6564178
"11","LILRA5",4.64e-10,4.61e-13,1.3582965
"12","GRN",4.81e-10,5.22e-13,1.5367636
"13","",6.24e-10,7.83e-13,1.896084
"14","LY6E",6.24e-10,7.9e-13,1.6545112
"15","FCGR1A",9.92e-10,1.35e-12,2.4075228
"16","TCN2",1.52e-09,2.2e-12,1.9192919
"17","LILRA5",3.42e-09,5.26e-12,2.3051463
"18","IFI6",3.96e-09,6.63e-12,1.5392966
"19","",3.96e-09,6.89e-12,1.4634776
"20","SLC2A3",3.96e-09,7.15e-12,1.1114146
"21","FCGR1B",4.23e-09,8.03e-12,2.2717249
"22","SP100",4.36e-09,8.68e-12,1.0012495
"23","MCEMP1",4.51e-09,9.38e-12,2.2601872
"24","CLC",4.61e-09,1e-11,-1.9929522
"25","SHISA5",4.61e-09,1.09e-11,0.9201377
"26","IFITM2",4.61e-09,1.11e-11,0.8508541
"27","CCR1",4.61e-09,1.13e-11,1.62851
"28","ADM",5.93e-09,1.5e-11,1.4469363
"29","",6.55e-09,1.74e-11,-0.7770016
"30","UBE2L6",6.55e-09,1.78e-11,1.3648329
"31","LMNB1",6.88e-09,1.93e-11,1.4574234
"32","LILRA5",9.79e-09,2.9e-11,2.0628623
"33","FBL",9.79e-09,2.92e-11,-0.7280028
"34","IFI44L",1.01e-08,3.12e-11,2.5669808
"35","GBA",1.12e-08,3.54e-11,0.9710975
"36","OAS2",1.34e-08,4.47e-11,2.1004012
"37","LGALS9",1.34e-08,4.49e-11,1.2582527
"38","IL1RN",1.49e-08,5.14e-11,2.3260057
"39","H1F0",1.49e-08,5.25e-11,1.3210709
"40","TYMP",1.51e-08,5.47e-11,1.9289842
"41","ZNF438",1.53e-08,5.69e-11,1.1657622
"42","TYMP",1.7e-08,6.48e-11,1.9353643
"43","FCAR",1.94e-08,7.55e-11,1.7815367
"44","S100A9",2.08e-08,8.28e-11,0.8260702
"45","RNA28S5",2.25e-08,9.5e-11,1.6406532
"46","OAS1",2.25e-08,9.58e-11,1.9614835
"47","",2.68e-08,1.18e-10,1.6845801
"48","TNFSF13B",2.68e-08,1.19e-10,1.3166128
"49","IL1RN",2.72e-08,1.23e-10,1.5593612
"50","LGALS9C",3.12e-08,1.44e-10,1.0834969
"51","CAMK1D",3.31e-08,1.56e-10,-0.6747956
"52","FCER1G",3.5e-08,1.68e-10,1.0011067
