"","Name","adj.P.Val","P.Value","logFC"
"122","FXYD6",1.36e-08,3.54e-11,0.843
"123","ETNK1",1.37e-08,3.61e-11,0.524
"124","FCGR1A",1.38e-08,3.69e-11,1.63
"125","RASSF6",1.38e-08,3.71e-11,-0.687
"126","",1.38e-08,3.73e-11,0.681
"127","MELK",1.38e-08,3.76e-11,1.42
"128","",1.48e-08,4.06e-11,-1.24
"129","MND1",1.59e-08,4.4e-11,1.04
"130","SNX29",1.64e-08,4.56e-11,-1.34
"131","SLC38A1",1.68e-08,4.7e-11,-0.744
"132","CNIH4",1.7e-08,4.8e-11,0.639
"133","C21orf2",1.84e-08,5.24e-11,-0.618
"134","PDE7B",1.87e-08,5.36e-11,-0.748
"135","FCGR1B",1.88e-08,5.43e-11,1.81
"136","HBBP1",1.89e-08,5.53e-11,2.88
"137","FCGR1B",1.89e-08,5.54e-11,1.78
"138","",2.07e-08,6.11e-11,-0.855
"139","MTHFD2",2.12e-08,6.3e-11,0.667
"140","IL1RN",2.14e-08,6.39e-11,1.28
"141","CREG1",2.17e-08,6.55e-11,1.01
"142","CCNG2",2.17e-08,6.59e-11,-0.57
"143","CHRNA5",2.21e-08,6.76e-11,-0.997
"144","ABCB1",2.25e-08,6.92e-11,-1.02
"145","TFDP1",2.3e-08,7.12e-11,0.816
"146","CMAS",2.31e-08,7.19e-11,0.547
"147","COX5B",2.32e-08,7.29e-11,0.541
"148","CDCA5",2.38e-08,7.5e-11,1.22
"149","STOM",2.42e-08,7.73e-11,1.27
"150","",2.42e-08,7.75e-11,-0.62
"151","MS4A4A",2.48e-08,7.99e-11,1.49
"152","",2.59e-08,8.37e-11,-1.07
"153","MT1A",2.75e-08,8.98e-11,0.98
"154","",2.75e-08,9.03e-11,-0.847
"155","",2.88e-08,9.49e-11,-1.37
"156","PSMA6",2.91e-08,9.66e-11,0.568
"157","CAMK1D",3.07e-08,1.02e-10,-0.753
"158","MEF2D",3.08e-08,1.04e-10,-0.741
"159","KIF20A",3.08e-08,1.04e-10,1.27
"160","",3.09e-08,1.05e-10,-1.33
"161","CDCA3",3.16e-08,1.08e-10,1.2
"162","CCNB1",3.27e-08,1.13e-10,1.01
"163","HIP1R",3.29e-08,1.15e-10,-1.12
"164","AGTRAP",3.29e-08,1.15e-10,0.784
"165","",3.33e-08,1.18e-10,0.775
"166","",3.33e-08,1.18e-10,-1.22
"167","EPSTI1",3.4e-08,1.21e-10,1.24
"168","ZBTB20",3.53e-08,1.27e-10,-0.741
"169","BLOC1S1",3.89e-08,1.41e-10,0.692
"170","",3.93e-08,1.44e-10,-0.742
"171","",4.01e-08,1.49e-10,-1.14
"172","CNNM3",4.22e-08,1.57e-10,-0.63
"173","AURKB",4.24e-08,1.59e-10,1.28
"174","CARD6",4.3e-08,1.62e-10,0.792
"175","CLEC4D",4.3e-08,1.63e-10,1.56
"176","",4.36e-08,1.66e-10,-0.896
"177","RAB11FIP4",4.38e-08,1.68e-10,-0.713
"178","TTK",4.4e-08,1.69e-10,1.1
"179","RPS7",4.41e-08,1.71e-10,0.704
"180","SEPT6",4.55e-08,1.78e-10,-0.721
"181","POLE2",4.55e-08,1.78e-10,0.871
"182","FZD3",4.56e-08,1.8e-10,-0.571
"183","ARG1",4.56e-08,1.8e-10,2.25
"184","LCOR",5.03e-08,2e-10,-0.593
"185","",5.06e-08,2.02e-10,-1.1
"186","LMO2",5.06e-08,2.03e-10,0.756
"187","",5.15e-08,2.08e-10,-0.752
"188","SMARCD3",5.16e-08,2.1e-10,0.858
"189","HEATR3",5.16e-08,2.1e-10,-0.999
"190","BCL11A",5.19e-08,2.13e-10,-0.565
"191","",5.19e-08,2.14e-10,-1.09
"192","FAM159A",5.24e-08,2.17e-10,-1.1
"193","PPIAL4G",5.39e-08,2.25e-10,-1.26
"194","",5.39e-08,2.26e-10,-0.739
"195","ZNF483",5.39e-08,2.26e-10,-1.14
"196","KIAA0355",5.5e-08,2.32e-10,-0.582
"197","NOV",5.63e-08,2.39e-10,-1.31
"198","GGH",5.83e-08,2.49e-10,1.01
"199","ZNF394",5.83e-08,2.5e-10,-0.903
"200","DEFA1",5.9e-08,2.55e-10,2.39
"201","",5.92e-08,2.58e-10,-0.928
"202","",5.92e-08,2.58e-10,-0.949
"203","KRT9",5.95e-08,2.61e-10,-0.818
"204","ERAP2",6e-08,2.64e-10,-0.765
"205","FCMR",6.14e-08,2.72e-10,-0.812
"206","",6.19e-08,2.75e-10,-0.93
"207","MCTS1",6.22e-08,2.78e-10,0.527
"208","",6.22e-08,2.79e-10,-1.28
"209","",6.37e-08,2.87e-10,-1.52
"210","RAPGEF6",6.54e-08,2.96e-10,-0.543
"211","HYAL2",6.68e-08,3.04e-10,0.769
"212","MGST1",6.68e-08,3.05e-10,0.924
"213","ZMAT3",6.76e-08,3.11e-10,-0.772
"214","ANKRD22",6.76e-08,3.12e-10,1.95
"215","TMEM217",6.76e-08,3.13e-10,0.772
"216","MEF2C",6.83e-08,3.18e-10,-0.894
"217","TDRD1",6.93e-08,3.24e-10,-0.976
"218","",6.99e-08,3.28e-10,-0.83
"219","ADD2",7.25e-08,3.43e-10,-0.827
"220","ANXA3",7.25e-08,3.43e-10,1.65
"221","CTGF",7.42e-08,3.57e-10,-1.09
"222","TRIM6",7.42e-08,3.57e-10,1.35
"223","BCL2L11",7.42e-08,3.58e-10,0.775
"224","ANKRD16",7.42e-08,3.59e-10,-0.811
"225","RBX1",7.42e-08,3.59e-10,0.634
"226","CARD16",7.5e-08,3.64e-10,0.997
"227","",7.54e-08,3.68e-10,-0.896
"228","UPF2",7.55e-08,3.7e-10,-0.548
"229","",7.56e-08,3.72e-10,1.74
"230","HIST1H1C",7.58e-08,3.74e-10,0.97
"231","",7.6e-08,3.78e-10,-1.07
"232","MT2A",7.6e-08,3.78e-10,1.14
"233","HNRNPU",7.75e-08,3.87e-10,-1.02
"234","MELK",7.76e-08,3.9e-10,1.17
"235","HIST2H2AA3",8.07e-08,4.07e-10,0.92
"236","SLC27A2",8.25e-08,4.18e-10,1.08
"237","",8.25e-08,4.22e-10,1.69
"238","CKAP2L",8.25e-08,4.22e-10,1.19
"239","",8.25e-08,4.23e-10,-1.04
"240","BCAT1",8.26e-08,4.25e-10,0.798
"241","FUT6",8.66e-08,4.49e-10,-1.09
"242","MBTD1",8.79e-08,4.57e-10,-1.01
"243","SPC25",8.89e-08,4.66e-10,1.03
"244","SQRDL",8.9e-08,4.71e-10,0.642
"245","GDPD1",9.3e-08,4.94e-10,-0.801
"246","VPS13A",9.48e-08,5.05e-10,-0.658
"247","CDT1",9.48e-08,5.07e-10,1.22
"248","LOC286437",9.53e-08,5.12e-10,-1
"249","ZNF426",9.57e-08,5.15e-10,-0.507
"250","",9.62e-08,5.25e-10,-1.03
"251","SLPI",9.62e-08,5.25e-10,2.07
"252","CAMP",9.62e-08,5.27e-10,2.07
"253","MYO3B",9.63e-08,5.29e-10,-1.12
"254","AGTRAP",9.65e-08,5.32e-10,0.765
"255","DEFA3",9.79e-08,5.43e-10,2.59
"256","ADK",9.79e-08,5.44e-10,-0.822
"257","UBE2C",9.8e-08,5.46e-10,1.07
"258","MCHR2",9.92e-08,5.56e-10,-1
"259","TPX2",9.92e-08,5.57e-10,1.14
"260","DEFA1B",9.92e-08,5.59e-10,2.67
"261","DEFA1",1.02e-07,5.77e-10,2.66
"262","TYMS",1.02e-07,5.81e-10,1.24
"263","C2orf15",1.02e-07,5.85e-10,-0.769
"264","PDP2",1.02e-07,5.87e-10,-0.726
"265","TFDP1",1.02e-07,5.87e-10,0.797
"266","UBR3",1.02e-07,5.92e-10,-0.51
"267","BAMBI",1.02e-07,5.93e-10,1.22
"268","ZNF577",1.03e-07,5.97e-10,-1.06
"269","C2",1.04e-07,6.05e-10,0.996
"270","TNFSF15",1.06e-07,6.2e-10,-1.09
"271","",1.07e-07,6.27e-10,1.04
"272","ZNF69",1.07e-07,6.34e-10,-1.05
"273","HYPK",1.13e-07,6.68e-10,-1.02
"274","HYKK",1.14e-07,6.76e-10,-1.25
"275","SAMSN1",1.14e-07,6.78e-10,0.772
"276","SHROOM4",1.14e-07,6.8e-10,-0.916
"277","OASL",1.18e-07,7.12e-10,1.8
"278","HNRNPLL",1.18e-07,7.15e-10,0.723
"279","SEMA3E",1.21e-07,7.33e-10,-1.01
"280","JAK2",1.22e-07,7.47e-10,0.666
"281","FOXO1",1.25e-07,7.67e-10,-0.577
"282","DEFA3",1.25e-07,7.73e-10,2.62
"283","",1.26e-07,7.81e-10,1.06
"284","ZNF585A",1.26e-07,7.85e-10,-0.787
"285","BACH2",1.32e-07,8.26e-10,-0.749
"286","TPD52",1.33e-07,8.32e-10,-0.764
"287","SH3GLB1",1.33e-07,8.37e-10,0.602
"288","FMC1",1.33e-07,8.4e-10,-1.1
"289","BLZF1",1.34e-07,8.49e-10,-1.13
"290","METTL9",1.36e-07,8.66e-10,0.812
"291","BPGM",1.36e-07,8.7e-10,1.93
"292","GALK2",1.37e-07,8.73e-10,-0.779
"293","MRPL33",1.37e-07,8.81e-10,0.505
"294","LMOD3",1.37e-07,8.83e-10,-1.11
"295","GAPDH",1.37e-07,8.87e-10,0.572
"296","PSTPIP2",1.38e-07,8.94e-10,0.864
"297","PPID",1.38e-07,8.98e-10,0.905
"298","ZNF264",1.38e-07,8.98e-10,-0.855
"299","",1.41e-07,9.22e-10,-0.699
"300","KIAA0408",1.41e-07,9.26e-10,-0.84
"301","BANP",1.42e-07,9.37e-10,-0.504
"302","SMIM14",1.42e-07,9.37e-10,-0.513
"303","TK1",1.42e-07,9.37e-10,1.05
"304","MND1",1.43e-07,9.51e-10,0.978
"305","PPIAL4C",1.43e-07,9.52e-10,-1.42
"306","HIST2H2AA3",1.45e-07,9.65e-10,0.978
"307","",1.47e-07,9.85e-10,-0.861
"308","LOC101928370",1.47e-07,9.94e-10,-0.695
"309","",1.48e-07,9.98e-10,-0.898
"310","",1.5e-07,1.02e-09,-1.31
"311","TGFBR2",1.51e-07,1.03e-09,-1.27
"312","",1.52e-07,1.04e-09,-0.948
"313","CST7",1.52e-07,1.04e-09,1.1
"314","TRIM13",1.54e-07,1.06e-09,-0.561
"315","ZNF773",1.54e-07,1.07e-09,-0.793
"316","",1.54e-07,1.07e-09,-1.31
