"","Name","adj.P.Val","P.Value","logFC"
"530","TSR1",8.73e-07,1.04e-08,-0.808
"531","MAFF",8.73e-07,1.05e-08,-0.944
"532","CKS1B",8.73e-07,1.05e-08,0.571
"533","",8.73e-07,1.05e-08,0.677
"534","",8.76e-07,1.06e-08,-1.01
"535","PLP2",8.92e-07,1.08e-08,0.561
"536","",8.94e-07,1.08e-08,-0.793
"537","HOOK1",8.98e-07,1.09e-08,-0.779
"538","PDCD4",9.08e-07,1.1e-08,-0.581
"539","TIPIN",9.1e-07,1.11e-08,0.864
"540","MFSD11",9.16e-07,1.11e-08,-0.621
"541","DDB1",9.34e-07,1.14e-08,-0.872
"542","",9.43e-07,1.15e-08,-0.951
"543","NOG",9.47e-07,1.16e-08,-1.01
"544","",9.49e-07,1.16e-08,-0.743
"545","CHEK1",9.5e-07,1.17e-08,0.96
"546","ZNF652",9.92e-07,1.22e-08,-0.904
"547","GPR141",9.99e-07,1.23e-08,1.13
"548","MYD88",1.02e-06,1.26e-08,0.582
"549","CEACAM8",1.02e-06,1.27e-08,2.65
"550","",1.03e-06,1.28e-08,-1.24
"551","GGH",1.03e-06,1.28e-08,1.03
"552","PLIN5",1.03e-06,1.29e-08,-0.864
"553","BATF",1.05e-06,1.31e-08,0.61
"554","SLC16A10",1.05e-06,1.31e-08,-0.676
"555","BDP1",1.05e-06,1.31e-08,-1.01
"556","XPNPEP3",1.08e-06,1.36e-08,-0.503
"557","FCF1",1.08e-06,1.36e-08,-0.593
"558","NF1",1.09e-06,1.38e-08,-0.688
"559","RHBDL2",1.1e-06,1.38e-08,-0.905
"560","PHAX",1.1e-06,1.39e-08,-1.15
"561","",1.1e-06,1.4e-08,-0.942
"562","SALL2",1.12e-06,1.42e-08,-0.613
"563","ITPK1-AS1",1.13e-06,1.44e-08,-0.785
"564","SPN",1.13e-06,1.44e-08,-0.759
"565","RASA2",1.13e-06,1.44e-08,-0.798
"566","",1.13e-06,1.44e-08,-0.988
"567","ADK",1.13e-06,1.45e-08,-0.804
"568","RALGDS",1.15e-06,1.48e-08,-0.806
"569","CYLC2",1.15e-06,1.48e-08,-0.515
"570","FOXP1-IT1",1.17e-06,1.51e-08,-1.22
"571","",1.19e-06,1.53e-08,-1.01
"572","FLVCR2",1.19e-06,1.54e-08,0.858
"573","ZNF563",1.19e-06,1.54e-08,-0.72
"574","OAS3",1.2e-06,1.56e-08,1.6
"575","KCNH6",1.2e-06,1.56e-08,-0.761
"576","ZNF395",1.2e-06,1.56e-08,-0.558
"577","CCR7",1.2e-06,1.57e-08,-0.514
"578","TNFSF10",1.21e-06,1.57e-08,0.879
"579","PLEKHA1",1.22e-06,1.59e-08,-0.707
"580","SAMD4A",1.22e-06,1.6e-08,1.28
"581","",1.24e-06,1.63e-08,-0.56
"582","IFITM2",1.24e-06,1.63e-08,0.629
"583","TOP1MT",1.25e-06,1.64e-08,-0.693
"584","PBK",1.25e-06,1.64e-08,0.851
"585","CAMK1D",1.25e-06,1.65e-08,-0.741
"586","ZNF37A",1.25e-06,1.65e-08,-0.527
"587","ZFP82",1.27e-06,1.69e-08,-0.53
"588","",1.31e-06,1.74e-08,-1.32
"589","BPGM",1.31e-06,1.75e-08,1.81
"590","IL7R",1.32e-06,1.76e-08,-0.769
"591","STRC",1.32e-06,1.77e-08,-0.773
"592","",1.33e-06,1.79e-08,-0.709
"593","KIFC1",1.36e-06,1.83e-08,1.24
"594","RAD51AP1",1.36e-06,1.83e-08,0.67
"595","ANKAR",1.37e-06,1.85e-08,-0.685
"596","",1.38e-06,1.86e-08,-0.535
"597","WDR74",1.39e-06,1.87e-08,-1.02
"598","TLR9",1.39e-06,1.88e-08,-0.868
"599","",1.39e-06,1.89e-08,-0.62
"600","RBBP8",1.4e-06,1.91e-08,0.555
"601","TRAK1",1.43e-06,1.95e-08,-0.832
"602","MYO9A",1.44e-06,1.96e-08,-0.543
"603","WDR73",1.44e-06,1.96e-08,-0.823
"604","MPO",1.44e-06,1.98e-08,2.52
"605","TGM2",1.44e-06,1.98e-08,1.36
"606","IL37",1.44e-06,1.98e-08,1.05
"607","ZNF549",1.46e-06,2.02e-08,-0.803
"608","",1.46e-06,2.02e-08,0.856
"609","MAGT1",1.47e-06,2.02e-08,-0.948
"610","",1.47e-06,2.03e-08,-0.754
"611","TBC1D9",1.47e-06,2.03e-08,-0.58
"612","GOLGA8A",1.47e-06,2.03e-08,-1.43
"613","CHAC2",1.49e-06,2.08e-08,0.801
"614","OIP5",1.5e-06,2.09e-08,0.703
"615","GYPE",1.5e-06,2.1e-08,1.85
"616","HSD17B7",1.5e-06,2.1e-08,-0.907
"617","",1.5e-06,2.1e-08,-0.559
"618","",1.52e-06,2.13e-08,0.841
"619","PPA2",1.52e-06,2.14e-08,-0.935
"620","ZNF248",1.54e-06,2.16e-08,-0.541
"621","",1.54e-06,2.17e-08,-0.999
"622","GYPB",1.55e-06,2.18e-08,2.11
"623","TMEM218",1.55e-06,2.19e-08,-0.776
"624","FKBP14",1.56e-06,2.21e-08,-1.05
"625","CHMP5",1.56e-06,2.22e-08,0.665
"626","CRTAP",1.57e-06,2.24e-08,-0.564
"627","EXOG",1.59e-06,2.26e-08,1.07
"628","PPM1K",1.6e-06,2.29e-08,-0.958
"629","ZMAT3",1.6e-06,2.29e-08,-0.82
"630","COX7A2",1.6e-06,2.3e-08,0.5
"631","",1.61e-06,2.31e-08,-1.04
"632","RALGPS2",1.62e-06,2.33e-08,-0.762
"633","FCER2",1.66e-06,2.39e-08,-0.908
"634","TCN2",1.66e-06,2.4e-08,1.32
"635","CXCR5",1.67e-06,2.41e-08,-0.776
"636","",1.67e-06,2.42e-08,-1.01
"637","PARP9",1.67e-06,2.42e-08,0.918
"638","",1.69e-06,2.46e-08,-1.06
"639","",1.69e-06,2.47e-08,-0.951
"640","CREBRF",1.69e-06,2.47e-08,-0.593
"641","ZNF565",1.74e-06,2.54e-08,-0.662
"642","",1.78e-06,2.61e-08,-0.808
"643","CEACAM1",1.79e-06,2.63e-08,1.14
"644","FMNL3",1.8e-06,2.64e-08,-0.68
"645","TRIP13",1.82e-06,2.68e-08,1.11
"646","",1.82e-06,2.69e-08,-0.869
"647","USP11",1.85e-06,2.75e-08,-0.63
"648","SPRY1",1.85e-06,2.75e-08,-0.652
"649","IL1RAP",1.87e-06,2.78e-08,-0.743
"650","GPR1",1.88e-06,2.81e-08,-0.918
"651","",1.9e-06,2.83e-08,-0.82
"652","CD96",1.9e-06,2.84e-08,-0.613
"653","CEACAM6",1.9e-06,2.85e-08,2.47
"654","ABCB1",1.91e-06,2.86e-08,-0.734
"655","",1.93e-06,2.9e-08,-0.621
"656","",1.94e-06,2.91e-08,-0.885
"657","SLC5A8",1.94e-06,2.93e-08,-1.25
"658","NRCAM",1.94e-06,2.93e-08,-0.675
"659","SNAPC1",1.95e-06,2.96e-08,-1.11
"660","KIAA0226L",1.98e-06,2.99e-08,-0.535
"661","",1.98e-06,3e-08,-0.867
"662","HIST2H2AB",2.02e-06,3.07e-08,0.777
"663","",2.04e-06,3.11e-08,-0.879
"664","MYO9A",2.04e-06,3.11e-08,-0.522
"665","",2.05e-06,3.12e-08,-0.89
"666","FABP5",2.05e-06,3.13e-08,1.04
"667","ZNF785",2.05e-06,3.14e-08,-1.23
"668","",2.05e-06,3.15e-08,-0.973
"669","METTL21A",2.08e-06,3.19e-08,-0.77
"670","RBCK1",2.08e-06,3.2e-08,0.538
"671","GSTO1",2.08e-06,3.21e-08,0.538
"672","ZNF827",2.1e-06,3.24e-08,-0.626
"673","",2.11e-06,3.25e-08,-0.613
"674","",2.12e-06,3.28e-08,1.14
"675","VAMP5",2.12e-06,3.28e-08,0.705
"676","VPS13A",2.12e-06,3.28e-08,-0.539
"677","",2.14e-06,3.33e-08,-0.723
"678","DDX51",2.16e-06,3.37e-08,-0.901
"679","",2.17e-06,3.38e-08,-1.3
"680","",2.18e-06,3.4e-08,-1.36
"681","",2.19e-06,3.44e-08,-0.98
"682","PIGX",2.2e-06,3.45e-08,-0.634
"683","C11orf80",2.21e-06,3.47e-08,-0.644
"684","DENND1A",2.22e-06,3.49e-08,0.67
"685","",2.24e-06,3.52e-08,-0.949
"686","",2.24e-06,3.53e-08,0.664
"687","KCTD7",2.28e-06,3.6e-08,-0.88
"688","MACF1",2.29e-06,3.62e-08,-1.1
"689","",2.33e-06,3.7e-08,-0.601
"690","SS18",2.35e-06,3.73e-08,0.672
"691","SETBP1",2.37e-06,3.77e-08,-0.716
"692","",2.38e-06,3.82e-08,-1.02
"693","LOC729603",2.38e-06,3.82e-08,-0.68
"694","CAMK2D",2.38e-06,3.83e-08,-0.666
"695","SART1",2.38e-06,3.83e-08,-0.78
"696","ZNF831",2.39e-06,3.85e-08,-0.742
"697","",2.49e-06,4.01e-08,-0.805
"698","",2.56e-06,4.13e-08,0.813
"699","TBC1D32",2.56e-06,4.14e-08,-0.924
"700","IFT172",2.58e-06,4.18e-08,-0.511
"701","N4BP2",2.58e-06,4.18e-08,-0.911
"702","DKFZP586I1420",2.58e-06,4.18e-08,-0.585
"703","NDUFAF7",2.58e-06,4.19e-08,-0.984
"704","ELMO1",2.6e-06,4.23e-08,-0.697
"705","NEK2",2.6e-06,4.23e-08,1.09
"706","",2.61e-06,4.26e-08,0.797
"707","",2.67e-06,4.37e-08,-0.602
"708","NUSAP1",2.68e-06,4.4e-08,0.879
"709","SARM1",2.68e-06,4.41e-08,-0.776
"710","CENPN",2.68e-06,4.42e-08,0.78
"711","MATK",2.69e-06,4.44e-08,-1.02
"712","TNRC6C",2.7e-06,4.46e-08,-0.743
"713","DYRK2",2.7e-06,4.47e-08,-0.8
"714","",2.7e-06,4.48e-08,-0.507
"715","FKBP1A",2.72e-06,4.51e-08,0.819
"716","",2.72e-06,4.51e-08,-0.874
"717","STRIP2",2.72e-06,4.52e-08,-1.01
"718","",2.76e-06,4.59e-08,-0.819
"719","ZNF573",2.8e-06,4.67e-08,-1.1
"720","GADD45A",2.8e-06,4.68e-08,0.696
"721","IFI6",2.8e-06,4.68e-08,1.48
"722","VHL",2.83e-06,4.74e-08,-0.528
"723","",2.83e-06,4.75e-08,-0.643
"724","ANKRD44",2.92e-06,4.91e-08,-1.18
"725","FOXP1",2.93e-06,4.92e-08,-0.67
"726","TMEM8B",2.94e-06,4.95e-08,-0.521
"727","PPP1R3D",2.97e-06,5.01e-08,0.57
"728","JRK",2.98e-06,5.02e-08,-0.63
"729","HLA-DMA",3.01e-06,5.08e-08,-0.548
"730","",3.01e-06,5.09e-08,-1.02
"731","",3.05e-06,5.17e-08,-1.05
"732","",3.09e-06,5.24e-08,-1.18
"733","DENR",3.09e-06,5.25e-08,-1.01
"734","",3.11e-06,5.28e-08,-1.13
"735","",3.13e-06,5.33e-08,-0.874
"736","FYN",3.15e-06,5.37e-08,-0.808
"737","MXD3",3.15e-06,5.4e-08,0.596
"738","CEBPA",3.15e-06,5.4e-08,0.82
"739","RHBDL2",3.17e-06,5.42e-08,-1.11
"740","",3.21e-06,5.5e-08,0.682
"741","ABCB4",3.23e-06,5.54e-08,-0.871
"742","",3.25e-06,5.59e-08,-0.966
"743","CCR2",3.26e-06,5.62e-08,0.659
"744","OXNAD1",3.26e-06,5.62e-08,-0.525
"745","SSTR2",3.33e-06,5.75e-08,-1.04
"746","CENPM",3.33e-06,5.76e-08,0.759
"747","",3.34e-06,5.79e-08,0.824
"748","NEK8",3.35e-06,5.81e-08,-0.816
"749","",3.35e-06,5.82e-08,-0.709
"750","TMEM56",3.35e-06,5.83e-08,1.64
"751","CEP68",3.38e-06,5.88e-08,-0.807
"752","RPAP2",3.38e-06,5.89e-08,-0.673
"753","",3.4e-06,5.93e-08,-0.89
"754","",3.43e-06,5.99e-08,-1.07
"755","NELL2",3.47e-06,6.07e-08,-0.78
"756","CRCP",3.47e-06,6.08e-08,-0.777
"757","TCN1",3.49e-06,6.11e-08,1.4
"758","HEPACAM2",3.49e-06,6.13e-08,1.46
"759","EPHA4",3.49e-06,6.13e-08,-0.577
"760","DRAP1",3.49e-06,6.15e-08,0.514
"761","NME1",3.49e-06,6.15e-08,0.534
"762","ASPM",3.49e-06,6.15e-08,0.976
"763","GNG7",3.49e-06,6.16e-08,-0.548
"764","CDC25A",3.5e-06,6.2e-08,0.932
"765","CAMK2D",3.51e-06,6.22e-08,-0.912
"766","ARHGAP32",3.58e-06,6.35e-08,-0.67
"767","RPL29",3.59e-06,6.38e-08,0.588
"768","ANG",3.6e-06,6.41e-08,0.692
"769","HLA-DOA",3.64e-06,6.48e-08,-0.696
"770","ATXN2L",3.67e-06,6.55e-08,-0.92
"771","HPCAL1",3.71e-06,6.64e-08,0.503
"772","CASP8",3.71e-06,6.65e-08,-0.95
"773","",3.72e-06,6.67e-08,-1.15
"774","ANXA2P1",3.72e-06,6.69e-08,0.619
"775","",3.77e-06,6.78e-08,1.01
"776","KIF23",3.79e-06,6.84e-08,0.916
"777","",3.79e-06,6.85e-08,-0.772
"778","",3.8e-06,6.86e-08,-0.98
"779","",3.89e-06,7.05e-08,-0.847
"780","NFATC3",3.98e-06,7.24e-08,-0.703
"781","ZNF786",3.98e-06,7.26e-08,-0.919
"782","SAMSN1",4.01e-06,7.31e-08,0.814
"783","TROAP",4.01e-06,7.32e-08,0.722
"784","",4.09e-06,7.48e-08,-0.896
"785","MTERF4",4.1e-06,7.51e-08,-0.728
"786","",4.14e-06,7.59e-08,-0.67
"787","CKAP4",4.14e-06,7.61e-08,0.812
"788","ANXA11",4.15e-06,7.63e-08,-0.931
"789","RPS7",4.16e-06,7.66e-08,0.633
"790","B4GALT5",4.17e-06,7.68e-08,0.701
"791","NFYB",4.19e-06,7.73e-08,-0.565
"792","RPL36A",4.2e-06,7.77e-08,0.532
"793","PLGLA",4.2e-06,7.78e-08,-0.827
"794","KCNK4",4.2e-06,7.78e-08,0.72
"795","",4.21e-06,7.81e-08,-0.949
"796","NUBPL",4.27e-06,7.94e-08,-0.951
"797","FCGBP",4.27e-06,7.95e-08,-0.834
"798","PLA2G2D",4.28e-06,7.97e-08,-1.04
"799","CASP1",4.31e-06,8.05e-08,0.58
"800","FAM72D",4.31e-06,8.07e-08,1.02
"801","ITPKB",4.31e-06,8.07e-08,-0.501
"802","MBTD1",4.31e-06,8.08e-08,-1.27
"803","ASPH",4.35e-06,8.17e-08,0.619
"804","NBEA",4.35e-06,8.19e-08,-0.685
"805","ABLIM1",4.41e-06,8.31e-08,-1.21
"806","",4.41e-06,8.32e-08,1.05
"807","SLC7A6",4.44e-06,8.39e-08,-0.515
"808","",4.45e-06,8.42e-08,-1
"809","",4.45e-06,8.42e-08,-0.684
"810","",4.51e-06,8.59e-08,-0.828
"811","IL17RD",4.52e-06,8.62e-08,-0.991
"812","",4.52e-06,8.63e-08,-0.542
"813","DISP1",4.53e-06,8.66e-08,-0.538
"814","NPAT",4.56e-06,8.73e-08,-0.508
"815","TYMP",4.61e-06,8.85e-08,0.729
"816","METTL9",4.64e-06,8.91e-08,0.667
"817","LBH",4.67e-06,8.98e-08,-1.02
"818","",4.7e-06,9.05e-08,-0.808
"819","",4.7e-06,9.05e-08,-1.08
"820","SPATS2L",4.7e-06,9.07e-08,1.38
"821","TOR1B",4.71e-06,9.1e-08,0.669
"822","RAB3IP",4.73e-06,9.15e-08,-0.591
"823","ZNF782",4.74e-06,9.2e-08,-0.591
"824","",4.83e-06,9.41e-08,-0.78
"825","",4.85e-06,9.46e-08,-0.579
"826","",4.91e-06,9.58e-08,-0.537
"827","C11orf63",4.92e-06,9.61e-08,-1.14
"828","STAG3",4.94e-06,9.66e-08,0.592
"829","CDC20",4.99e-06,9.78e-08,1.02
"830","ZNF682",5.01e-06,9.83e-08,-0.981
"831","TPD52",5.01e-06,9.84e-08,-0.563
"832","PBX4",5.04e-06,9.92e-08,-0.64
"833","POLR1B",5.12e-06,1.01e-07,-0.641
"834","ALMS1",5.24e-06,1.03e-07,-0.584
"835","ZBTB40",5.28e-06,1.04e-07,-0.67
"836","FCER1G",5.3e-06,1.05e-07,0.751
"837","",5.33e-06,1.05e-07,-0.719
"838","DSTYK",5.33e-06,1.06e-07,-0.713
"839","CR2",5.38e-06,1.07e-07,-0.609
"840","ZNF234",5.41e-06,1.08e-07,-0.711
"841","CALML4",5.46e-06,1.09e-07,0.578
"842","LPP",5.5e-06,1.1e-07,-0.502
"843","KIAA0226L",5.55e-06,1.11e-07,-0.541
"844","ZNF286A",5.55e-06,1.11e-07,-0.6
"845","",5.59e-06,1.12e-07,-0.916
"846","SLC22A4",5.59e-06,1.12e-07,0.966
"847","SAT1",5.59e-06,1.12e-07,0.597
"848","TRIM52",5.64e-06,1.14e-07,-0.735
"849","",5.66e-06,1.14e-07,-0.659
"850","TRAPPC2",5.66e-06,1.14e-07,-0.809
"851","CES2",5.66e-06,1.15e-07,-0.735
"852","",5.68e-06,1.15e-07,-0.777
"853","EIF4B",5.8e-06,1.18e-07,-0.525
"854","SLC25A51",5.81e-06,1.18e-07,-0.875
"855","ZNF540",5.84e-06,1.19e-07,-0.573
"856","GYPE",5.94e-06,1.21e-07,1.65
"857","",5.95e-06,1.21e-07,-1.26
"858","CENPM",5.96e-06,1.22e-07,1.15
"859","NPEPPS",5.96e-06,1.22e-07,-0.764
"860","",5.98e-06,1.22e-07,-0.644
"861","",6.04e-06,1.24e-07,-0.657
"862","TXK",6.08e-06,1.25e-07,-0.603
"863","SASH1",6.1e-06,1.25e-07,1.04
"864","GALNT3",6.1e-06,1.25e-07,-0.839
"865","",6.1e-06,1.25e-07,-0.899
"866","PXMP4",6.13e-06,1.26e-07,-0.909
"867","PSAT1",6.13e-06,1.26e-07,0.709
"868","",6.14e-06,1.27e-07,-1.06
"869","",6.14e-06,1.27e-07,-0.966
"870","",6.14e-06,1.27e-07,-1.34
"871","CBX7",6.18e-06,1.28e-07,-0.554
"872","EXOSC1",6.18e-06,1.28e-07,-0.943
"873","LEP",6.26e-06,1.3e-07,-0.999
"874","ASGR2",6.26e-06,1.3e-07,0.97
"875","",6.3e-06,1.31e-07,-0.875
"876","ZNF14",6.46e-06,1.35e-07,-0.889
"877","RABL2B",6.49e-06,1.36e-07,-0.623
"878","PRC1",6.54e-06,1.37e-07,0.743
"879","DNMT3A",6.55e-06,1.37e-07,-0.723
"880","TAGAP",6.57e-06,1.38e-07,-0.823
"881","",6.57e-06,1.38e-07,-1.31
"882","TOP2A",6.59e-06,1.38e-07,0.986
"883","VPS41",6.62e-06,1.4e-07,-0.901
"884","PCYOX1",6.62e-06,1.4e-07,-0.713
"885","ZNF557",6.74e-06,1.42e-07,-0.82
"886","KIF11",6.75e-06,1.43e-07,1.01
"887","PTGR2",6.75e-06,1.43e-07,-0.569
"888","PPFIBP1",6.76e-06,1.43e-07,-0.774
"889","AK5",6.8e-06,1.44e-07,-0.784
"890","SEPT1",6.91e-06,1.47e-07,-0.707
"891","SEC24B",6.95e-06,1.48e-07,-0.738
"892","PTGR2",7.03e-06,1.5e-07,-1.21
"893","",7.04e-06,1.51e-07,-0.884
"894","FAM212B",7.04e-06,1.51e-07,-1.03
"895","",7.11e-06,1.52e-07,0.503
"896","",7.14e-06,1.53e-07,-0.787
"897","CDC42EP3",7.16e-06,1.54e-07,0.885
"898","",7.16e-06,1.54e-07,-1.04
"899","",7.2e-06,1.55e-07,-0.824
"900","USP49",7.25e-06,1.56e-07,-0.948
"901","",7.28e-06,1.57e-07,1.03
"902","",7.28e-06,1.57e-07,-0.897
"903","APOM",7.28e-06,1.57e-07,0.559
"904","OAS3",7.28e-06,1.57e-07,1.42
"905","MARCO",7.28e-06,1.58e-07,1.1
"906","",7.28e-06,1.58e-07,-0.947
"907","",7.28e-06,1.58e-07,-0.556
"908","",7.28e-06,1.58e-07,-1.12
"909","ZNF165",7.28e-06,1.58e-07,-0.555
"910","",7.28e-06,1.58e-07,-0.669
"911","IL7",7.32e-06,1.59e-07,-0.637
"912","",7.36e-06,1.6e-07,-1.02
"913","RPL39L",7.38e-06,1.61e-07,0.555
"914","PARP9",7.39e-06,1.61e-07,0.863
"915","EIF1B",7.41e-06,1.62e-07,0.77
"916","LOC101927438",7.46e-06,1.63e-07,-0.599
"917","EXOC4",7.47e-06,1.64e-07,-1.03
"918","CTSG",7.51e-06,1.64e-07,2.31
"919","",7.53e-06,1.65e-07,-0.908
"920","UBE2F",7.54e-06,1.65e-07,0.552
"921","SLC22A4",7.56e-06,1.66e-07,0.944
"922","TGFBR2",7.57e-06,1.66e-07,-0.597
"923","BCAS4",7.62e-06,1.68e-07,-0.608
"924","POGZ",7.79e-06,1.72e-07,-0.808
"925","RBM12B",7.86e-06,1.73e-07,-0.757
"926","ZNF430",7.9e-06,1.75e-07,-0.634
"927","PDCD10",8e-06,1.78e-07,0.615
"928","DRAM1",8.01e-06,1.78e-07,0.682
"929","",8.01e-06,1.78e-07,-0.7
"930","MAML2",8.01e-06,1.78e-07,-0.55
"931","",8.17e-06,1.82e-07,-0.573
"932","",8.27e-06,1.85e-07,-0.764
"933","KMT2E",8.37e-06,1.88e-07,-0.809
"934","",8.37e-06,1.88e-07,-0.606
"935","C10orf11",8.39e-06,1.88e-07,0.766
"936","",8.41e-06,1.89e-07,-0.575
"937","SRPK2",8.47e-06,1.9e-07,-0.784
"938","ZWINT",8.48e-06,1.91e-07,0.995
"939","MFGE8",8.51e-06,1.92e-07,-0.502
"940","SAPCD2",8.51e-06,1.92e-07,0.729
"941","RFESD",8.72e-06,1.97e-07,0.702
"942","KCNK6",8.73e-06,1.97e-07,-0.705
"943","IKBIP",8.8e-06,1.99e-07,-0.661
"944","SRPK2",8.83e-06,2e-07,-0.921
"945","C2orf68",8.86e-06,2.01e-07,-0.686
"946","ZNF500",8.86e-06,2.01e-07,-0.502
"947","CISD2",8.88e-06,2.02e-07,1.08
"948","CASP8",8.88e-06,2.02e-07,-0.563
"949","SNX15",8.92e-06,2.03e-07,0.92
"950","SLC25A20",8.93e-06,2.03e-07,-1.16
"951","",8.94e-06,2.04e-07,-0.924
"952","PARPBP",9e-06,2.06e-07,0.666
"953","",9e-06,2.06e-07,-0.554
"954","",9e-06,2.06e-07,-0.956
"955","NR3C2",9.01e-06,2.06e-07,-0.848
"956","AURKA",9.1e-06,2.09e-07,0.76
"957","PLCH2",9.22e-06,2.12e-07,-0.606
"958","",9.34e-06,2.15e-07,-0.729
"959","ORC6",9.36e-06,2.15e-07,0.755
"960","",9.37e-06,2.16e-07,-0.782
"961","SHISA5",9.41e-06,2.17e-07,0.653
"962","EIF2AK4",9.44e-06,2.18e-07,-0.873
"963","",9.46e-06,2.19e-07,-1.08
"964","GGA1",9.48e-06,2.19e-07,-0.562
"965","WIPI1",9.64e-06,2.24e-07,0.639
"966","",9.74e-06,2.26e-07,-0.938
"967","DUSP19",9.77e-06,2.27e-07,-0.671
"968","KIF2C",9.91e-06,2.31e-07,0.89
"969","",9.91e-06,2.31e-07,-0.768
"970","PLPP5",1e-05,2.34e-07,-0.64
"971","",1e-05,2.34e-07,-1.11
"972","",1.01e-05,2.35e-07,0.711
"973","CCDC136",1.02e-05,2.39e-07,-0.589
"974","ZNF223",1.02e-05,2.4e-07,-0.871
"975","CD200",1.03e-05,2.41e-07,-0.812
"976","DFFA",1.03e-05,2.42e-07,-0.769
"977","DYRK2",1.03e-05,2.42e-07,-0.525
"978","",1.05e-05,2.47e-07,-0.823
"979","BRI3",1.05e-05,2.48e-07,0.53
"980","CKAP5",1.06e-05,2.5e-07,-0.55
"981","BANP",1.06e-05,2.5e-07,-0.562
"982","CDCA2",1.06e-05,2.5e-07,0.784
"983","",1.06e-05,2.51e-07,-0.546
"984","RBM33",1.07e-05,2.53e-07,-0.505
"985","GLS",1.07e-05,2.55e-07,-0.585
"986","KIF14",1.08e-05,2.56e-07,0.903
"987","LAP3",1.08e-05,2.56e-07,0.924
"988","KIF27",1.08e-05,2.57e-07,-0.817
"989","KMT2A",1.08e-05,2.57e-07,-0.756
"990","HIST1H2BD",1.09e-05,2.58e-07,0.649
"991","",1.09e-05,2.61e-07,-0.872
"992","SLC4A5",1.09e-05,2.61e-07,-0.841
"993","CD63",1.1e-05,2.62e-07,0.606
"994","BCL11A",1.11e-05,2.65e-07,-0.64
"995","TYSND1",1.11e-05,2.67e-07,-0.573
"996","AGMAT",1.12e-05,2.68e-07,-0.671
"997","",1.12e-05,2.68e-07,-0.64
"998","VPS13D",1.12e-05,2.69e-07,-0.537
"999","ATP8B2",1.13e-05,2.73e-07,-0.613
"1000","",1.14e-05,2.74e-07,-0.852
"1001","",1.18e-05,2.85e-07,-0.813
"1002","BCYRN1",1.19e-05,2.87e-07,-0.806
"1003","DDR1",1.19e-05,2.89e-07,-0.526
"1004","TNFSF13B",1.2e-05,2.9e-07,0.911
"1005","MIGA1",1.2e-05,2.9e-07,-1.03
"1006","BATF2",1.2e-05,2.91e-07,1.34
"1007","",1.22e-05,2.96e-07,-0.824
"1008","ZNF623",1.23e-05,2.99e-07,-0.609
"1009","",1.23e-05,3.01e-07,-0.88
"1010","EVI5",1.24e-05,3.03e-07,-0.763
"1011","RASSF1",1.24e-05,3.03e-07,-0.739
"1012","GBA",1.24e-05,3.05e-07,0.544
"1013","IFI44L",1.24e-05,3.05e-07,1.78
"1014","GTSE1",1.24e-05,3.05e-07,0.689
"1015","CASP1",1.24e-05,3.06e-07,0.574
"1016","FHL2",1.24e-05,3.06e-07,0.658
"1017","GJC1",1.25e-05,3.08e-07,-0.622
"1018","ZNF347",1.25e-05,3.09e-07,-0.509
"1019","",1.25e-05,3.09e-07,-0.841
"1020","IL18",1.26e-05,3.12e-07,-0.632
"1021","OCIAD1",1.27e-05,3.15e-07,-0.827
"1022","CNST",1.28e-05,3.17e-07,-0.503
"1023","HTRA4",1.28e-05,3.17e-07,-0.75
"1024","",1.28e-05,3.18e-07,-0.86
"1025","LOC101926963",1.29e-05,3.21e-07,0.55
"1026","TMCC2",1.29e-05,3.21e-07,1.48
"1027","ALPP",1.29e-05,3.21e-07,-0.896
"1028","CARD17",1.3e-05,3.24e-07,1.3
"1029","NDC80",1.3e-05,3.25e-07,0.662
"1030","DMC1",1.31e-05,3.27e-07,-0.851
"1031","CD44",1.31e-05,3.28e-07,-0.916
"1032","CREBRF",1.34e-05,3.35e-07,-0.541
"1033","",1.34e-05,3.37e-07,-1.24
"1034","",1.35e-05,3.38e-07,-0.758
"1035","",1.36e-05,3.41e-07,-0.796
"1036","TCF7",1.37e-05,3.44e-07,-0.749
"1037","PNKD",1.38e-05,3.47e-07,0.812
"1038","UCK2",1.38e-05,3.47e-07,0.57
"1039","IRF7",1.38e-05,3.47e-07,1.03
"1040","POC1A",1.38e-05,3.47e-07,0.659
"1041","",1.39e-05,3.51e-07,-1.18
"1042","ANKRD9",1.4e-05,3.53e-07,1.01
"1043","",1.4e-05,3.53e-07,-0.804
"1044","DNAJB14",1.41e-05,3.56e-07,-0.708
"1045","",1.41e-05,3.57e-07,-1.34
"1046","",1.47e-05,3.71e-07,-0.579
"1047","TSPAN32",1.47e-05,3.72e-07,-0.759
"1048","APOBEC3H",1.48e-05,3.76e-07,1.07
"1049","TAGAP",1.48e-05,3.76e-07,-0.827
"1050","PHLPP2",1.49e-05,3.77e-07,-0.586
"1051","CD83",1.51e-05,3.83e-07,-0.571
"1052","OAS2",1.52e-05,3.86e-07,0.832
"1053","ADARB1",1.52e-05,3.88e-07,-0.595
"1054","CENPE",1.55e-05,3.96e-07,0.754
"1055","ZNF135",1.56e-05,3.99e-07,-0.665
"1056","ZSWIM8",1.58e-05,4.04e-07,-0.747
"1057","",1.58e-05,4.05e-07,-0.929
"1058","ZNF600",1.6e-05,4.11e-07,-0.8
"1059","BAIAP2L2",1.6e-05,4.13e-07,-0.607
