ID,adj.P.Val,P.Value,t,B,logFC,SPOT_ID,ORF
3429_at,9.15E-47,4.92E-51,20.4744283,104.73662,3.87692921,3429,IFI27
51246_at,2.94E-42,3.16E-46,18.8306811,93.95758,0.60162262,51246,SHISA5
8519_at,1.96E-33,3.15E-37,15.8519693,73.71296,0.95016274,8519,IFITM1
6614_at,1.05E-32,2.26E-36,15.5736931,71.78635,1.79479141,6614,SIGLEC1
2537_at,1.15E-32,3.1E-36,15.5288133,71.47523,1.87579119,2537,IFI6
129607_at,3.1E-30,9.99E-34,14.7150406,65.81841,1.9232935,129607,CMPK2
94240_at,6.51E-30,2.45E-33,14.5889437,64.93979,1.01245043,94240,EPSTI1
83666_at,1.35E-29,5.8E-33,14.467675,64.09445,0.96290959,83666,PARP9
4061_at,2.27E-29,1.1E-32,14.3782344,63.47079,1.20073304,4061,LY6E
5359_at,1.29E-26,6.93E-30,13.4718932,57.14754,1.16653526,5359,PLSCR1
8638_at,1.76E-26,1.04E-29,13.4149198,56.7502,1.69621237,8638,OASL
10964_at,1.21E-25,7.81E-29,13.131106,54.77196,2.32426664,10964,IFI44L
91543_at,1.3E-25,9.05E-29,13.1103095,54.62709,1.62623415,91543,RSAD2
5610_at,2.45E-25,1.84E-28,13.0100521,53.9289,1.20377189,5610,EIF2AK2
4938_at,4.8E-25,3.87E-28,12.9055218,53.20133,1.43066646,4938,OAS1
10561_at,5.2E-25,4.47E-28,12.885319,53.06077,1.83430722,10561,IFI44
54739_at,3.1E-24,2.83E-27,12.624852,51.25016,1.25498937,54739,XAF1
4615_at,4.7E-24,4.55E-27,12.5578732,50.78513,0.58948539,4615,MYD88
3437_at,4.89E-24,4.99E-27,12.5446863,50.6936,1.82731967,3437,IFIT3
6948_at,1.07E-23,1.15E-26,12.4261552,49.87138,1.02773758,6948,TCN2
9636_at,1.12E-23,1.28E-26,12.4119588,49.77296,1.58664581,9636,ISG15
1230_at,1.12E-23,1.32E-26,12.4068941,49.73785,1.26668338,1230,CCR1
158405_at,3.62E-23,4.47E-26,12.2342765,48.54231,1.1747009,158405,KIAA1958
4940_at,1.85E-22,2.39E-25,11.9962186,46.89719,1.6182411,4940,OAS3
3434_at,2.99E-22,4.02E-25,11.9223591,46.38774,2.46273122,3434,IFIT1
11274_at,7E-22,9.78E-25,11.7956254,45.51476,2.1467489,11274,USP18
4600_at,8.54E-22,1.24E-24,11.7619188,45.28284,0.91482218,4600,MX2
91351_at,8.85E-22,1.33E-24,11.7516572,45.21225,1.20344983,91351,DDX60L
54877_at,1.84E-21,2.87E-24,11.6417978,44.45726,0.96899286,54877,ZCCHC2
3557_at,2.86E-21,4.61E-24,11.5742581,43.99373,1.39445907,3557,IL1RN
4599_at,4.19E-21,6.98E-24,11.5148903,43.58671,1.41007265,4599,MX1
103_at,6.93E-21,1.19E-23,11.4381554,43.06121,0.69167783,103,ADAR
8743_at,1.15E-20,2.03E-23,11.3616342,42.53786,0.87070984,8743,TNFSF10
55601_at,2.44E-20,4.46E-23,11.2486615,41.76655,1.38086409,55601,DDX60
911_at,2.81E-20,5.28E-23,-11.224314,41.60053,-0.90044888,911,CD1C
2048_at,3.17E-20,6.14E-23,11.202778,41.45375,0.95498988,2048,EPHB2
342510_at,3.76E-20,7.47E-23,11.1744537,41.26079,1.02347751,342510,CD300E
26270_at,4.02E-20,8.28E-23,11.1597124,41.16041,1.01541424,26270,FBXO6
133_at,4.02E-20,8.43E-23,11.1569601,41.14167,1.52707779,133,ADM
200315_at,4.21E-20,9.06E-23,11.1466855,41.07173,0.7559736,200315,APOBEC3A
683_at,7.71E-20,1.7E-22,11.0559468,40.45466,1.17155516,683,BST1
83982_at,1.1E-19,2.52E-22,10.9989962,40.06796,0.50023027,83982,IFI27L2
219285_at,1.1E-19,2.53E-22,10.9983266,40.06342,0.83009175,219285,SAMD9L
3956_at,1.44E-19,3.41E-22,10.9550578,39.76994,0.67225753,3956,LGALS1
2799_at,1.8E-19,4.35E-22,10.9199539,39.53204,0.61910676,2799,GNS
4939_at,3.65E-19,9.02E-22,10.8142852,38.81707,1.13033514,4939,OAS2
4001_at,4.12E-19,1.04E-21,10.7933457,38.6756,0.94495448,4001,LMNB1
151636_at,5.71E-19,1.47E-21,10.7430432,38.33602,0.59516651,151636,DTX3L
6993_at,6.71E-19,1.77E-21,10.716563,38.15743,0.69435459,6993,DYNLT1
3665_at,7.01E-19,1.88E-21,10.7072943,38.09494,1.14056455,3665,IRF7
2896_at,8.75E-19,2.4E-21,10.672035,37.85737,0.54696758,2896,GRN
246329_at,1.29E-18,3.61E-21,10.6124434,37.45632,0.77130676,246329,STAC3
8360_at,1.31E-18,3.72E-21,10.6081163,37.42723,0.8010533,8360,HIST1H4D
9447_at,2.14E-18,6.2E-21,10.5335573,36.92636,1.44790463,9447,AIM2
306_at,2.56E-18,7.57E-21,10.5043828,36.73064,1.74139071,306,ANXA3
91860_at,2.82E-18,8.47E-21,10.4878054,36.6195,0.4106893,91860,CALML4
26010_at,3.24E-18,9.93E-21,10.4646058,36.46404,1.53921468,26010,SPATS2L
10673_at,3.97E-18,1.24E-20,10.4323588,36.24812,1.05705507,10673,TNFSF13B
51510_at,4.31E-18,1.37E-20,10.4176289,36.14955,0.64912488,51510,CHMP5
2207_at,4.56E-18,1.47E-20,10.4069406,36.07806,0.60065114,2207,FCER1G
684_at,4.82E-18,1.58E-20,10.3965543,36.0086,1.01574486,684,BST2
8342_at,6.51E-18,2.17E-20,10.3499966,35.6975,0.84441628,8342,HIST1H2BM
3820_at,6.52E-18,2.22E-20,-10.3469242,35.67699,-1.05151586,3820,KLRB1
116369_at,6.52E-18,2.24E-20,10.3450318,35.66435,1.57379304,116369,SLC26A8
7100_at,7.62E-18,2.66E-20,10.3198399,35.49621,1.04997929,7100,TLR5
55640_at,8.04E-18,2.85E-20,10.3097672,35.42902,0.87587466,55640,FLVCR2
9246_at,8.95E-18,3.22E-20,10.2917714,35.30902,0.68789538,9246,UBE2L6
51191_at,9.39E-18,3.43E-20,10.282556,35.24759,1.93816748,51191,HERC5
710_at,1.06E-17,3.94E-20,10.2622423,35.11225,2.00354511,710,SERPING1
24138_at,1.32E-17,4.98E-20,10.2276677,34.88207,0.9036854,24138,IFIT5
6272_at,1.33E-17,5.06E-20,10.2253733,34.86681,1.23345276,6272,SORT1
7706_at,2.32E-17,8.96E-20,10.1410132,34.30623,0.47146856,7706,TRIM25
51465_at,2.62E-17,1.03E-19,10.1205598,34.17054,0.48202057,51465,UBE2J1
6280_at,3.06E-17,1.23E-19,10.0941997,33.99578,0.9319838,6280,S100A9
64108_at,3.06E-17,1.23E-19,10.0938185,33.99325,1.3960264,64108,RTP4
81030_at,3.71E-17,1.52E-19,10.0633237,33.79127,1.25999625,81030,ZBP1
105379461_at,4.31E-17,1.79E-19,-10.0390381,33.63055,-0.4746013,105379461,LOC105379461
115352_at,5.72E-17,2.4E-19,-9.995388,33.34199,-0.83570786,115352,FCRL3
22905_at,6.08E-17,2.58E-19,-9.9843204,33.26889,-0.51192757,22905,EPN2
10346_at,9E-17,3.87E-19,9.9242319,32.87248,0.73050319,10346,TRIM22
3430_at,1.32E-16,5.75E-19,9.8653075,32.48453,0.78936688,3430,IFI35
10720_at,1.49E-16,6.65E-19,-9.8435104,32.34121,-1.18211821,10720,UGT2B11
10000_at,1.49E-16,6.66E-19,-9.8433275,32.34001,-0.46440813,10000,AKT3
6122_at,1.61E-16,7.31E-19,-9.829496,32.24913,-0.37169558,6122,RPL3
4897_at,1.61E-16,7.35E-19,-9.8285352,32.24281,-0.59122725,4897,NRCAM
10602_at,1.61E-16,7.43E-19,9.8270665,32.23317,0.69262984,10602,CDC42EP3
5608_at,2.45E-16,1.15E-18,9.7621831,31.80744,1.18427886,5608,MAP2K6
23166_at,2.63E-16,1.24E-18,9.750105,31.7283,0.82630983,23166,STAB1
6303_at,3.03E-16,1.45E-18,9.7269087,31.57641,0.51491632,6303,SAT1
6283_at,4.19E-16,2.03E-18,9.6768632,31.24913,1.10949175,6283,S100A12
3428_at,4.19E-16,2.05E-18,9.6753068,31.23896,0.33931919,3428,IFI16
27348_at,4.64E-16,2.29E-18,9.6582825,31.12777,0.83612413,27348,TOR1B
6282_at,4.78E-16,2.39E-18,9.6521662,31.08784,0.57747437,6282,S100A11
84329_at,5.35E-16,2.7E-18,-9.6337276,30.96752,-0.40845064,84329,HVCN1
53335_at,6.75E-16,3.45E-18,-9.5970875,30.72867,-0.46972075,53335,BCL11A
220929_at,7.08E-16,3.65E-18,9.5883735,30.67191,0.87392371,220929,ZNF438
9381_at,8.63E-16,4.5E-18,9.5568333,30.46664,1.28193482,9381,OTOF
6277_at,1.09E-15,5.72E-18,9.5208413,30.23269,0.44633083,6277,S100A6
3965_at,1.09E-15,5.82E-18,9.5181934,30.21549,0.67895388,3965,LGALS9
3568_at,1.27E-15,6.8E-18,-9.494583,30.06222,-1.17520636,3568,IL5RA
597_at,1.42E-15,7.71E-18,9.4755806,29.93896,1.03407794,597,BCL2A1
7130_at,1.42E-15,7.78E-18,9.4742843,29.93056,1.26515684,7130,TNFAIP6
64135_at,1.65E-15,9.16E-18,9.4496711,29.77105,0.99979251,64135,IFIH1
2745_at,1.71E-15,9.58E-18,9.4428311,29.72675,0.37357786,2745,GLRX
123041_at,1.73E-15,9.78E-18,9.4397119,29.70656,0.87077389,123041,SLC24A4
23424_at,1.87E-15,1.06E-17,9.4271012,29.62493,0.77108945,23424,TDRD7
1192_at,2.17E-15,1.25E-17,9.4025567,29.46616,0.42755513,1192,CLIC1
79132_at,2.17E-15,1.26E-17,9.40141,29.45875,1.07329929,79132,DHX58
573_at,2.82E-15,1.65E-17,-9.360381,29.19373,-1.10861156,573,BAG1
84628_at,2.93E-15,1.73E-17,9.3529045,29.14548,0.98110184,84628,NTNG2
64218_at,3.01E-15,1.8E-17,9.3474248,29.11013,0.69811541,64218,SEMA4A
10863_at,3.86E-15,2.33E-17,-9.3082747,28.85779,-0.8321439,10863,ADAM28
2204_at,3.9E-15,2.37E-17,9.3056128,28.84065,1.20073961,2204,FCAR
114769_at,4.38E-15,2.68E-17,9.2865494,28.71794,0.52354679,114769,CARD16
6672_at,4.5E-15,2.78E-17,9.2810951,28.68285,0.45019114,6672,SP100
51338_at,4.7E-15,2.93E-17,9.2729763,28.63063,1.25610369,51338,MS4A4A
51155_at,4.76E-15,2.99E-17,9.2697517,28.6099,0.53399237,51155,JPT1
84658_at,5.1E-15,3.24E-17,-9.2579621,28.53411,-1.00070173,84658,ADGRE3
8291_at,5.35E-15,3.42E-17,9.2493777,28.47895,1.20689978,8291,DYSF
51056_at,5.68E-15,3.66E-17,9.2390264,28.41247,1.03145559,51056,LAP3
644_at,6.31E-15,4.1E-17,9.2216971,28.30123,0.79245166,644,BLVRA
634_at,7.13E-15,4.67E-17,9.2018625,28.17402,1.31115726,634,CEACAM1
29799_at,8.03E-15,5.31E-17,-9.1823302,28.04885,-0.46909666,29799,YPEL1
58472_at,8.93E-15,5.97E-17,9.1643566,27.93376,0.43845682,58472,SQOR
23643_at,8.93E-15,6E-17,9.1635967,27.9289,1.16944955,23643,LY96
353514_at,9.1E-15,6.17E-17,9.1594951,27.90265,0.94637381,353514,LILRA5
717_at,9.64E-15,6.6E-17,9.1490875,27.83606,0.85366946,717,C2
338339_at,9.64E-15,6.63E-17,9.1483768,27.83151,1.26580039,338339,CLEC4D
64761_at,1.04E-14,7.23E-17,9.1351258,27.74678,0.57549837,64761,PARP12
3148_at,1.09E-14,7.63E-17,9.1269149,27.69431,0.68511619,3148,HMGB2
11006_at,1.16E-14,8.17E-17,9.1163248,27.62665,0.55353805,11006,LILRB4
27181_at,1.34E-14,9.53E-17,-9.0926699,27.47564,-1.04799272,27181,SIGLEC8
54809_at,1.49E-14,1.07E-16,9.0754742,27.36597,0.54253255,54809,SAMD9
29126_at,1.58E-14,1.13E-16,9.0659249,27.3051,1.19448318,29126,CD274
57674_at,2.16E-14,1.57E-16,9.0163444,26.9895,0.57447484,57674,RNF213
7076_at,2.55E-14,1.86E-16,8.9897824,26.82072,0.65471319,7076,TIMP1
719_at,2.64E-14,1.95E-16,8.9829626,26.77742,1.16485849,719,C3AR1
55008_at,2.75E-14,2.04E-16,8.9757265,26.73149,0.93903763,55008,HERC6
8665_at,2.92E-14,2.18E-16,-8.9650676,26.66386,-0.28940704,8665,EIF3F
6279_at,2.99E-14,2.25E-16,8.9605539,26.63523,0.3419721,6279,S100A8
2629_at,3.14E-14,2.38E-16,8.9518414,26.57999,0.57827828,2629,GBA
221188_at,3.16E-14,2.42E-16,-8.9495193,26.56527,-0.56083195,221188,ADGRG5
5265_at,3.24E-14,2.49E-16,8.9450126,26.53671,0.85178883,5265,SERPINA1
51514_at,3.36E-14,2.6E-16,8.9379619,26.49203,0.74171605,51514,DTL
199675_at,3.66E-14,2.85E-16,8.9237609,26.4021,1.55350994,199675,MCEMP1
100419583_at,5.2E-14,4.08E-16,8.8684797,26.05259,0.53532791,100419583,LOC100419583
57126_at,5.79E-14,4.58E-16,8.8505392,25.93936,2.03771721,57126,CD177
3433_at,5.95E-14,4.73E-16,8.8453586,25.90669,1.23345101,3433,IFIT2
85441_at,6.13E-14,4.91E-16,8.8397919,25.87158,0.92256927,85441,HELZ2
7077_at,6.42E-14,5.18E-16,8.8313954,25.81865,0.62831879,7077,TIMP2
54187_at,7.13E-14,5.78E-16,8.8141906,25.71026,0.30503426,54187,NANS
6241_at,7.94E-14,6.49E-16,8.7962995,25.59765,0.84129077,6241,RRM2
834_at,8.01E-14,6.59E-16,8.7940093,25.58324,0.69452822,834,CASP1
2180_at,9.08E-14,7.52E-16,8.7733653,25.45343,1.07696643,2180,ACSL1
255809_at,9.22E-14,7.68E-16,8.7700704,25.43273,0.57939624,255809,C19orf38
58480_at,9.72E-14,8.16E-16,8.760695,25.37383,0.56430893,58480,RHOU
5209_at,9.72E-14,8.2E-16,8.7598653,25.36862,0.96062061,5209,PFKFB3
2867_at,1.02E-13,8.69E-16,8.750894,25.31229,1.13053352,2867,FFAR2
777_at,1.2E-13,1.02E-15,8.7252609,25.15148,1.26793851,777,CACNA1E
219988_at,1.28E-13,1.11E-15,8.7131167,25.07537,0.35573194,219988,PATL1
890_at,1.28E-13,1.11E-15,8.713024,25.07479,0.73313029,890,CCNA2
4520_at,1.35E-13,1.17E-15,8.7042369,25.01974,0.53824429,4520,MTF1
57085_at,1.45E-13,1.27E-15,8.6920236,24.94328,0.64056115,57085,AGTRAP
5347_at,1.52E-13,1.34E-15,8.6830821,24.88733,0.71521001,5347,PLK1
2091_at,1.81E-13,1.6E-15,-8.6553207,24.71378,-0.37171885,2091,FBL
84674_at,2.02E-13,1.8E-15,8.6370942,24.59998,0.6606818,84674,CARD6
79660_at,2.09E-13,1.87E-15,8.6308069,24.56074,1.19304979,79660,PPP1R3B
54543_at,2.12E-13,1.91E-15,-8.6276772,24.54122,-0.37369059,54543,TOMM7
121512_at,2.24E-13,2.04E-15,8.6174324,24.47733,0.73265437,121512,FGD4
118788_at,2.34E-13,2.14E-15,8.6099902,24.43094,0.46700995,118788,PIK3AP1
2787_at,2.35E-13,2.16E-15,8.6083394,24.42065,0.52240016,2787,GNG5
118932_at,2.45E-13,2.26E-15,8.6009822,24.37481,1.68454497,118932,ANKRD22
929_at,2.55E-13,2.37E-15,8.5938706,24.33052,0.71775407,929,CD14
6193_at,3.07E-13,2.87E-15,-8.5637059,24.14284,-0.35391703,6193,RPS5
102723458_at,3.88E-13,3.65E-15,8.5260122,23.90874,0.85844881,102723458,LOC102723458
6772_at,3.88E-13,3.67E-15,8.5248467,23.90151,0.6808549,6772,STAT1
9517_at,3.91E-13,3.72E-15,8.5228035,23.88883,0.66167753,9517,SPTLC2
9212_at,3.92E-13,3.75E-15,8.5215207,23.88088,0.53935559,9212,AURKB
9332_at,4.19E-13,4.03E-15,8.5101715,23.8105,0.94936885,9332,CD163
4261_at,4.58E-13,4.43E-15,-8.4953358,23.71857,-0.42536654,4261,CIITA
1432_at,4.66E-13,4.54E-15,8.4914398,23.69444,0.72494111,1432,MAPK14
58484_at,5.28E-13,5.16E-15,8.4710381,23.56817,0.95424307,58484,NLRC4
3717_at,6.06E-13,5.96E-15,8.4484073,23.42827,0.45707187,3717,JAK2
191585_at,6.64E-13,6.57E-15,-8.4330032,23.33315,-0.57527398,191585,PLAC4
1111_at,7.68E-13,7.63E-15,8.4091292,23.18588,0.71210773,1111,CHEK1
57169_at,8.05E-13,8.05E-15,8.4007038,23.13395,0.44238438,57169,ZNFX1
2205_at,8.1E-13,8.19E-15,-8.3979742,23.11713,-0.73006881,2205,FCER1A
51232_at,8.1E-13,8.19E-15,-8.3979468,23.11696,-0.48431184,51232,CRIM1
643_at,8.45E-13,8.63E-15,-8.3896539,23.06589,-0.50769149,643,CXCR5
23313_at,8.45E-13,8.63E-15,8.3896434,23.06582,0.47664735,23313,KIAA0930
6205_at,8.64E-13,8.87E-15,-8.3853434,23.03935,-0.19821089,6205,RPS11
25825_at,9.37E-13,9.67E-15,-8.3716026,22.95479,-0.38788332,25825,BACE2
1938_at,1E-12,1.04E-14,-8.3602256,22.88482,-0.23980301,1938,EEF2
4758_at,1.02E-12,1.06E-14,8.3569713,22.86482,0.41741695,4758,NEU1
84678_at,1.14E-12,1.2E-14,-8.3376421,22.74608,-0.38473465,84678,KDM2B
10538_at,1.16E-12,1.22E-14,8.33421,22.72501,0.53869242,10538,BATF
246_at,1.24E-12,1.31E-14,-8.3231658,22.65724,-0.77048555,246,ALOX15
4082_at,1.56E-12,1.66E-14,8.2858872,22.4288,0.43967198,4082,MARCKS
1656_at,1.71E-12,1.83E-14,-8.2700606,22.33197,-0.252385,1656,DDX6
55512_at,1.78E-12,1.92E-14,-8.2625547,22.28608,-0.56551572,55512,SMPD3
7378_at,1.9E-12,2.05E-14,8.2516839,22.21965,0.58112647,7378,UPP1
4317_at,2.05E-12,2.23E-14,8.2384419,22.13879,2.04064698,4317,MMP8
29097_at,2.25E-12,2.46E-14,8.222691,22.04268,0.75336256,29097,CNIH4
6484_at,2.25E-12,2.47E-14,8.2215634,22.03581,0.88474737,6484,ST3GAL4
3101_at,2.25E-12,2.48E-14,8.221287,22.03412,1.04872246,3101,HK3
53_at,2.39E-12,2.65E-14,8.2107034,21.96961,0.49307219,53,ACP2
23095_at,2.48E-12,2.76E-14,8.2037602,21.9273,1.04879388,23095,KIF1B
55803_at,2.5E-12,2.8E-14,8.201983,21.91648,0.57670639,55803,ADAP2
966_at,2.5E-12,2.81E-14,8.2009446,21.91015,0.76520952,966,CD59
3759_at,2.8E-12,3.16E-14,8.1824895,21.79781,1.0592869,3759,KCNJ2
81846_at,2.86E-12,3.24E-14,8.1781245,21.77126,0.49862405,81846,SBF2
1462_at,3.32E-12,3.79E-14,8.1531439,21.61944,0.641533,1462,VCAN
390036_at,3.45E-12,3.95E-14,8.1464995,21.57909,0.90984868,390036,OR52K1
6125_at,3.51E-12,4.04E-14,-8.1428023,21.55665,-0.36176272,6125,RPL5
1992_at,3.57E-12,4.13E-14,8.1392839,21.5353,0.70053957,1992,SERPINB1
79887_at,3.61E-12,4.2E-14,8.1366661,21.51942,0.86205354,79887,PLBD1
23564_at,3.66E-12,4.27E-14,8.1338844,21.50254,0.61926483,23564,DDAH2
57118_at,3.66E-12,4.29E-14,-8.13294,21.49682,-0.42148113,57118,CAMK1D
6515_at,4.34E-12,5.11E-14,8.1049544,21.32721,0.8944983,6515,SLC2A3
6275_at,4.45E-12,5.27E-14,8.1000543,21.29755,0.49258965,6275,S100A4
55024_at,4.52E-12,5.36E-14,-8.0970676,21.27947,-0.61763374,55024,BANK1
3140_at,4.86E-12,5.8E-14,8.0843539,21.20256,0.37252057,3140,MR1
1116_at,4.92E-12,5.9E-14,-8.081803,21.18713,-1.19431711,1116,CHI3L1
404550_at,4.92E-12,5.93E-14,-8.0809634,21.18205,-0.36981422,404550,C16orf74
8685_at,5.6E-12,6.77E-14,8.0593615,21.05153,0.45654253,8685,MARCO
3021_at,5.8E-12,7.05E-14,8.052864,21.01231,0.40554441,3021,H3F3B
57091_at,6.16E-12,7.52E-14,-8.0424251,20.94933,-0.55086678,57091,CASS4
1730_at,6.22E-12,7.63E-14,8.0401291,20.93548,0.33728527,1730,DIAPH2
54625_at,6.48E-12,7.97E-14,8.0329593,20.89225,0.47927725,54625,PARP14
22974_at,6.78E-12,8.38E-14,8.0249251,20.84383,0.59270283,22974,TPX2
9252_at,7.25E-12,9.01E-14,-8.0131665,20.77302,-0.5753173,9252,RPS6KA5
29015_at,7.55E-12,9.42E-14,8.0059162,20.72938,0.41701466,29015,SLC43A3
64332_at,7.68E-12,9.65E-14,8.0019676,20.70562,0.25290074,64332,NFKBIZ
6737_at,7.68E-12,9.66E-14,8.0018349,20.70482,0.51384451,6737,TRIM21
1178_at,7.87E-12,9.94E-14,-7.9971684,20.67675,-1.28256941,1178,CLC
8778_at,8.14E-12,1.03E-13,7.9909828,20.63955,0.90572263,8778,SIGLEC5
55357_at,8.29E-12,1.06E-13,7.987235,20.61703,0.60409856,55357,TBC1D2
4502_at,8.86E-12,1.13E-13,7.9758765,20.54878,1.41124483,4502,MT2A
6141_at,9.16E-12,1.18E-13,-7.9696161,20.51119,-0.23936452,6141,RPL18
9334_at,9.4E-12,1.21E-13,7.9647269,20.48184,0.8517641,9334,B4GALT5
64581_at,9.85E-12,1.28E-13,7.9565292,20.43265,0.78279223,64581,CLEC7A
126014_at,9.87E-12,1.28E-13,7.95546,20.42624,0.52677077,126014,OSCAR
5729_at,1.01E-11,1.31E-13,-7.9518084,20.40434,-0.68116187,5729,PTGDR
933_at,1.03E-11,1.35E-13,-7.946973,20.37535,-0.62657738,933,CD22
2647_at,1.29E-11,1.7E-13,7.9094883,20.1509,0.34226699,2647,BLOC1S1
3009_at,1.34E-11,1.77E-13,7.9032388,20.11354,0.62464619,3009,HIST1H1B
23597_at,1.36E-11,1.8E-13,7.9004705,20.09699,0.62875336,23597,ACOT9
9826_at,1.39E-11,1.86E-13,7.8954634,20.06707,0.57491241,9826,ARHGEF11
1316_at,1.48E-11,1.98E-13,7.8851709,20.00559,0.27561428,1316,KLF6
8358_at,1.53E-11,2.06E-13,7.8784757,19.96563,0.64475484,8358,HIST1H3B
729230_at,1.61E-11,2.17E-13,7.8700868,19.91558,0.75455275,729230,CCR2
197259_at,1.79E-11,2.43E-13,7.8514766,19.80464,0.55822137,197259,MLKL
152007_at,1.85E-11,2.52E-13,7.845586,19.76955,0.44715257,152007,GLIPR2
4774_at,1.94E-11,2.65E-13,-7.8370411,19.71868,-0.76181023,4774,NFIA
8754_at,1.98E-11,2.72E-13,7.8327743,19.69329,0.5291074,8754,ADAM9
143686_at,1.99E-11,2.74E-13,-7.831657,19.68664,-0.58292525,143686,SESN3
4210_at,2.15E-11,2.97E-13,7.8183508,19.60751,0.53349488,4210,MEFV
11142_at,2.17E-11,3E-13,-7.8164264,19.59608,-0.46936502,11142,PKIG
51386_at,2.36E-11,3.3E-13,-7.8011303,19.50521,-0.5581453,51386,EIF3L
22904_at,2.36E-11,3.3E-13,7.8010896,19.50497,0.66152491,22904,SBNO2
10791_at,2.53E-11,3.55E-13,7.7889093,19.43268,0.53274457,10791,VAMP5
440836_at,2.55E-11,3.59E-13,7.7872477,19.42283,0.78633528,440836,ODF3B
79817_at,2.62E-11,3.71E-13,-7.7819196,19.39123,-0.49545889,79817,MOB3B
64778_at,2.86E-11,4.05E-13,7.7672009,19.304,0.45763221,64778,FNDC3B
53831_at,2.97E-11,4.23E-13,7.7601771,19.2624,0.90450596,53831,GPR84
3949_at,3.01E-11,4.31E-13,7.7571291,19.24436,0.55159363,3949,LDLR
64855_at,3.04E-11,4.37E-13,7.7547697,19.23039,0.56357105,64855,FAM129B
6124_at,3.3E-11,4.75E-13,-7.7408389,19.14798,-0.23528061,6124,RPL4
23158_at,3.33E-11,4.82E-13,-7.7387034,19.13536,-0.50745594,23158,TBC1D9
3017_at,3.41E-11,4.95E-13,7.7342357,19.10895,0.65791974,3017,HIST1H2BD
3460_at,3.65E-11,5.32E-13,7.7222297,19.03802,0.34329921,3460,IFNGR2
7097_at,3.68E-11,5.38E-13,7.7203158,19.02672,0.77818449,7097,TLR2
23765_at,3.81E-11,5.6E-13,7.7138536,18.98857,0.41840018,23765,IL17RA
302_at,3.96E-11,5.83E-13,7.7071442,18.94898,0.6274886,302,ANXA2
5355_at,4.14E-11,6.12E-13,7.6990995,18.90154,0.57088945,5355,PLP2
83888_at,4.24E-11,6.29E-13,-7.6944819,18.87432,-0.99273775,83888,FGFBP2
10158_at,4.25E-11,6.32E-13,-7.6937116,18.86978,-0.68302434,10158,PDZK1IP1
6228_at,4.25E-11,6.36E-13,-7.6927883,18.86434,-0.30528568,6228,RPS23
9582_at,4.27E-11,6.4E-13,7.6916246,18.85748,0.68476451,9582,APOBEC3B
25771_at,4.71E-11,7.08E-13,-7.674902,18.759,-0.24886561,25771,TBC1D22A
10288_at,4.81E-11,7.27E-13,7.6704926,18.73305,0.43982839,10288,LILRB2
23328_at,5.88E-11,8.91E-13,7.6366998,18.53446,0.56891711,23328,SASH1
8331_at,6.29E-11,9.57E-13,7.6248148,18.46472,0.44740897,8331,HIST1H2AJ
7295_at,6.84E-11,1.05E-12,7.6100493,18.37817,0.52378697,7295,TXN
2529_at,6.84E-11,1.05E-12,7.6097183,18.37623,0.87485185,2529,FUT7
9768_at,7.09E-11,1.09E-12,7.6031502,18.33776,0.74282799,9768,PCLAF
6398_at,7.65E-11,1.18E-12,7.5898741,18.26006,0.75437907,6398,SECTM1
84034_at,8.12E-11,1.26E-12,7.5790285,18.19663,0.49700663,84034,EMILIN2
81622_at,8.12E-11,1.26E-12,7.5789349,18.19609,0.50925269,81622,UNC93B1
4987_at,8.28E-11,1.29E-12,7.5749951,18.17306,0.55942491,4987,OPRL1
968_at,8.29E-11,1.3E-12,7.5742121,18.16848,0.55804499,968,CD68
23224_at,8.4E-11,1.32E-12,-7.57139,18.15199,-0.2333941,23224,SYNE2
55355_at,9.06E-11,1.43E-12,7.5582195,18.07509,0.47474198,55355,HJURP
51311_at,9.15E-11,1.45E-12,7.5560628,18.0625,0.79145836,51311,TLR8
6774_at,9.68E-11,1.53E-12,7.5461012,18.00439,0.34224264,6774,STAT3
990_at,1E-10,1.59E-12,7.5400229,17.96895,0.62555829,990,CDC6
2208_at,1.02E-10,1.63E-12,-7.5356142,17.94325,-0.83834143,2208,FCER2
9834_at,1.03E-10,1.64E-12,-7.5345369,17.93698,-0.51457087,9834,FAM30A
9985_at,1.04E-10,1.68E-12,7.5307091,17.91468,0.42709553,9985,REC8
284021_at,1.04E-10,1.68E-12,7.5306297,17.91421,0.73477728,284021,MILR1
6773_at,1.15E-10,1.86E-12,7.5137306,17.81584,0.46227126,6773,STAT2
6208_at,1.18E-10,1.91E-12,-7.5091036,17.78892,-0.26881224,6208,RPS14
93432_at,1.18E-10,1.92E-12,7.5085862,17.78592,1.02312935,93432,MGAM2
1234_at,1.2E-10,1.96E-12,7.5046921,17.76327,0.72392364,1234,CCR5
6548_at,1.24E-10,2.03E-12,7.4994485,17.73279,0.43382738,6548,SLC9A1
9749_at,1.26E-10,2.08E-12,7.4953597,17.70903,0.44747391,9749,PHACTR2
64343_at,1.27E-10,2.09E-12,7.493957,17.70089,0.57478135,64343,AZI2
820_at,1.27E-10,2.1E-12,7.4938877,17.70048,0.93508096,820,CAMP
6556_at,1.39E-10,2.31E-12,7.477364,17.60455,0.65767148,6556,SLC11A1
3985_at,1.41E-10,2.35E-12,7.4747261,17.58925,0.63397463,3985,LIMK2
100847062_at,1.41E-10,2.36E-12,-7.4736841,17.58321,-0.49132912,100847062,MIR5195
