"","Name","adj.P.Val","P.Value","logFC"
"53","CYSTM1",9.47e-07,2.93e-09,1.15
"54","IKZF2",9.95e-07,3.19e-09,-0.677
"55","LY9",9.95e-07,3.25e-09,-0.658
"56","BPI",9.95e-07,3.26e-09,1.72
"57","TP53I11",1.1e-06,3.65e-09,0.615
"58","DTHD1",1.1e-06,3.71e-09,-0.637
"59","CKAP4",1.32e-06,4.62e-09,0.952
"60","GPR42",1.37e-06,4.87e-09,0.878
"61","ZNF563",1.42e-06,5.11e-09,-0.891
"62","PSTPIP2",1.47e-06,5.34e-09,0.928
"63","C1orf21",1.47e-06,5.51e-09,-0.869
"64","CD2",1.53e-06,5.94e-09,-0.573
"65","PLEKHA1",1.6e-06,6.3e-09,-0.585
"66","LILRA4",1.73e-06,6.95e-09,-0.605
"67","RIMBP3",1.73e-06,7.04e-09,-0.502
"68","PDE7B",1.73e-06,7.11e-09,-0.673
"69","MEX3C",1.78e-06,7.41e-09,-0.523
"70","CEACAM8",1.86e-06,7.94e-09,1.66
"71","LCN2",1.86e-06,7.99e-09,1.42
"72","SLC16A10",1.92e-06,8.42e-09,-0.605
"73","NRN1",1.92e-06,8.45e-09,1.07
"74","METTL9",1.92e-06,8.58e-09,0.543
"75","PCNXL2",1.93e-06,8.71e-09,-0.843
"76","E2F1",1.98e-06,9.03e-09,0.698
"77","KLRC3",2.02e-06,9.3e-09,-0.98
"78","SLC1A3",2.02e-06,9.4e-09,1
"79","CD3G",2.06e-06,9.66e-09,-0.573
"80","DCAF17",2.06e-06,9.73e-09,-0.615
"81","MGC57346-CRHR1",2.15e-06,1.03e-08,-0.692
"82","LILRA6",2.19e-06,1.07e-08,0.652
"83","MCEMP1",2.26e-06,1.11e-08,1.59
"84","GRN",2.5e-06,1.24e-08,0.746
"85","CCDC141",2.66e-06,1.33e-08,-0.795
"86","ALOX5",2.72e-06,1.37e-08,0.785
"87","SPATA5",2.74e-06,1.39e-08,-0.721
"88","ADM",2.84e-06,1.47e-08,0.981
"89","FFAR3",2.98e-06,1.57e-08,0.857
"90","CD96",3.08e-06,1.66e-08,-0.554
"91","SIGLEC9",3.16e-06,1.72e-08,0.849
"92","PLB1",3.31e-06,1.85e-08,0.82
"93","ALPL",3.5e-06,1.99e-08,1.27
"94","CR1L",3.64e-06,2.1e-08,0.65
"95","THEMIS",3.83e-06,2.24e-08,-0.606
"96","LILRA5",4.29e-06,2.58e-08,0.781
"97","CXCL8",4.35e-06,2.63e-08,-0.939
"98","TYMP",4.67e-06,2.87e-08,0.62
"99","ZDHHC12",4.7e-06,2.93e-08,0.612
"100","STXBP2",4.7e-06,2.93e-08,0.578
"101","PFKFB3",4.85e-06,3.09e-08,0.867
"102","TRGJ1",4.9e-06,3.18e-08,-0.748
"103","PLSCR1",4.93e-06,3.23e-08,0.825
"104","RFTN1",4.93e-06,3.26e-08,-0.606
"105","GLCCI1",4.93e-06,3.29e-08,-0.569
"106","CR1",5.05e-06,3.42e-08,0.574
"107","CAMSAP2",5.05e-06,3.42e-08,-0.576
"108","LMO7",5.13e-06,3.5e-08,-0.773
"109","DYSF",5.25e-06,3.63e-08,1.04
"110","ACADSB",5.43e-06,3.8e-08,-0.503
"111","CLEC4D",5.43e-06,3.87e-08,1.19
"112","NR2C1",5.43e-06,3.88e-08,-0.565
"113","KREMEN1",5.43e-06,3.91e-08,0.959
"114","AGFG2",5.43e-06,3.92e-08,-0.682
"115","CYSLTR2",5.45e-06,3.96e-08,-0.749
"116","ZNF91",5.69e-06,4.18e-08,-0.513
"117","SKAP1",5.69e-06,4.21e-08,-0.537
"118","---",5.75e-06,4.28e-08,0.593
"119","KRBOX4",5.75e-06,4.3e-08,-0.558
"120","NR3C2",5.75e-06,4.33e-08,-0.635
"121","NECAB1",6.21e-06,4.78e-08,0.912
"122","TIMP1",6.23e-06,4.85e-08,0.742
"123","MYD88",6.84e-06,5.58e-08,0.549
"124","GRINA",6.84e-06,5.61e-08,0.617
"125","KLRC4-KLRK1",6.84e-06,5.65e-08,-0.763
"126","AMIGO1",7e-06,5.89e-08,-0.604
"127","FCAR",7e-06,5.95e-08,1.19
"128","ZNF14",7.25e-06,6.19e-08,-0.705
"129","METTL7B",7.46e-06,6.47e-08,0.781
"130","AK5",7.49e-06,6.53e-08,-0.636
"131","FCGR1C",7.53e-06,6.65e-08,0.942
"132","MMP9",7.53e-06,6.71e-08,1.58
"133","ABCB1",7.53e-06,6.73e-08,-0.709
"134","VNN1",7.61e-06,6.84e-08,1.34
"135","VDR",8.29e-06,7.54e-08,0.549
"136","TTN",8.29e-06,7.65e-08,-0.623
"137","CTSA",8.29e-06,7.66e-08,0.534
"138","UPP1",8.52e-06,7.99e-08,0.724
"139","GPR84",8.55e-06,8.17e-08,1.11
"140","GTPBP2",9.02e-06,8.76e-08,0.532
"141","P2RX1",9.02e-06,8.82e-08,0.694
"142","EOMES",9.2e-06,9.06e-08,-0.854
"143","ZNF559-ZNF177",9.2e-06,9.08e-08,-0.616
"144","HK3",9.23e-06,9.19e-08,1.06
"145","PNPLA2",9.29e-06,9.3e-08,0.616
"146","GBA",9.41e-06,9.5e-08,0.623
"147","FAM214A",9.77e-06,9.94e-08,-0.537
"148","LAMTOR1",9.91e-06,1.01e-07,0.627
"149","CNKSR2",9.91e-06,1.02e-07,-0.689
"150","LPAL2",9.93e-06,1.02e-07,-0.586
"151","MS4A4A",1e-05,1.04e-07,1.51
"152","SERPINB1",1.02e-05,1.06e-07,0.665
"153","ZNF345",1.04e-05,1.09e-07,-0.638
"154","MYBL1",1.04e-05,1.09e-07,-0.893
"155","CAPG",1.04e-05,1.11e-07,0.574
"156","CNIH4",1.04e-05,1.11e-07,0.618
"157","AKAP5",1.05e-05,1.13e-07,-0.656
"158","SEPSECS",1.06e-05,1.14e-07,-0.51
"159","DEPDC7",1.06e-05,1.15e-07,-0.884
"160","SNED1",1.07e-05,1.16e-07,-0.686
"161","ABCD2",1.07e-05,1.16e-07,-0.733
"162","KL",1.07e-05,1.17e-07,0.784
"163","SSPN",1.13e-05,1.25e-07,-0.87
"164","BMX",1.15e-05,1.29e-07,1.1
"165","PDP2",1.23e-05,1.39e-07,-0.577
"166","MUC1",1.25e-05,1.41e-07,0.739
"167","FAM69A",1.25e-05,1.43e-07,-0.506
"168","RHOU",1.25e-05,1.43e-07,0.728
"169","CRHR1-IT1",1.27e-05,1.46e-07,-0.793
"170","PRKCD",1.28e-05,1.48e-07,0.561
"171","CD28",1.28e-05,1.49e-07,-0.51
"172","PPP3CC",1.3e-05,1.52e-07,-0.523
"173","RETN",1.33e-05,1.57e-07,1.54
"174","KIF21A",1.35e-05,1.61e-07,-0.919
"175","TBC1D2",1.36e-05,1.62e-07,0.551
"176","CCDC66",1.39e-05,1.68e-07,-0.542
"177","SLC40A1",1.42e-05,1.72e-07,0.695
"178","APBB1",1.44e-05,1.77e-07,-0.628
"179","FAM151B",1.46e-05,1.83e-07,0.668
"180","CEP126",1.46e-05,1.84e-07,-0.502
"181","KCNE1",1.47e-05,1.86e-07,1
"182","LGALS9C",1.49e-05,1.9e-07,0.511
"183","SIRPA",1.5e-05,1.93e-07,0.623
"184","LGALS1",1.53e-05,2.02e-07,0.573
"185","TBC1D32",1.63e-05,2.2e-07,-0.674
"186","AKR1C3",1.65e-05,2.23e-07,-0.69
"187","HPR",1.65e-05,2.25e-07,1.32
"188","LOC101928694",1.66e-05,2.27e-07,0.536
"189","CEACAM6",1.66e-05,2.28e-07,0.841
"190","---",1.66e-05,2.29e-07,0.649
"191","EMILIN2",1.68e-05,2.33e-07,0.65
"192","GADD45A",1.69e-05,2.38e-07,0.941
"193","SPI1",1.69e-05,2.39e-07,0.536
"194","PPP2R2B",1.82e-05,2.61e-07,-0.886
"195","TSPYL2",1.85e-05,2.67e-07,-0.564
"196","C5orf28",1.87e-05,2.7e-07,-0.878
"197","---",1.91e-05,2.79e-07,0.539
"198","MPO",1.94e-05,2.87e-07,0.747
"199","ZBTB41",1.96e-05,2.9e-07,-0.702
"200","KCNE3",2.02e-05,3.02e-07,0.609
"201","CCR3",2.03e-05,3.05e-07,-0.782
"202","TMEM150C",2.03e-05,3.06e-07,0.503
"203","URI1",2.03e-05,3.08e-07,-0.516
"204","---",2.11e-05,3.24e-07,-0.629
"205","C3AR1",2.14e-05,3.32e-07,1.03
"206","CEP78",2.14e-05,3.32e-07,-0.646
"207","SH2D1B",2.22e-05,3.47e-07,-0.843
"208","TGFBR3",2.22e-05,3.48e-07,-0.895
"209","CD200R1",2.26e-05,3.55e-07,-0.652
"210","NBEA",2.28e-05,3.61e-07,-0.711
"211","LRG1",2.28e-05,3.62e-07,0.697
"212","PGLYRP1",2.29e-05,3.66e-07,0.998
"213","GGT2",2.32e-05,3.73e-07,0.682
"214","ATF7IP2",2.33e-05,3.77e-07,-0.531
"215","ZMYND11",2.36e-05,3.84e-07,-0.516
"216","SLC26A8",2.36e-05,3.86e-07,1.45
"217","LILRB3",2.36e-05,3.87e-07,0.826
"218","GP9",2.45e-05,4.08e-07,0.517
"219","ABCA5",2.46e-05,4.12e-07,-0.612
"220","WIPI1",2.46e-05,4.13e-07,0.75
"221","EPSTI1",2.46e-05,4.14e-07,0.607
"222","FKBP5",2.52e-05,4.27e-07,0.694
"223","RTKN2",2.53e-05,4.3e-07,0.56
"224","CD59",2.55e-05,4.34e-07,0.748
"225","PLXDC1",2.59e-05,4.42e-07,-0.723
"226","CACNB4",2.62e-05,4.52e-07,-0.665
"227","LINC00243",2.69e-05,4.67e-07,-0.615
"228","PRKCH",2.73e-05,4.77e-07,-0.528
"229","IL1R1",2.73e-05,4.79e-07,0.582
"230","PLCB1",2.82e-05,5.01e-07,-0.816
"231","KLRC1",2.87e-05,5.12e-07,-1.07
"232","CEACAM1",2.95e-05,5.3e-07,1.25
"233","SLC38A1",3.05e-05,5.57e-07,-0.574
"234","IL5RA",3.08e-05,5.65e-07,-1.02
"235","NELL2",3.09e-05,5.67e-07,-0.732
"236","SLC2A14",3.11e-05,5.77e-07,0.709
"237","CEP70",3.11e-05,5.77e-07,-0.619
"238","C9orf84",3.11e-05,5.77e-07,0.851
"239","ANXA3",3.14e-05,5.86e-07,1.21
"240","LTF",3.38e-05,6.34e-07,1.4
"241","INADL",3.47e-05,6.53e-07,-0.62
"242","DDHD1",3.48e-05,6.57e-07,-0.513
"243","NFE2",3.51e-05,6.63e-07,0.657
"244","ZNF248",3.52e-05,6.72e-07,-0.578
"245","SYT17",3.53e-05,6.79e-07,-0.575
"246","SMARCAD1",3.56e-05,6.89e-07,-0.643
"247","NR1D2",3.56e-05,6.96e-07,-0.55
"248","MME",3.87e-05,7.63e-07,-0.879
"249","FURIN",3.91e-05,7.75e-07,0.681
"250","NAPA",3.94e-05,7.87e-07,0.534
"251","IL10",3.99e-05,8.02e-07,0.684
"252","FOLR1",3.99e-05,8.03e-07,1.06
"253","PPP1R12B",4.06e-05,8.19e-07,-0.6
"254","ATP8B4",4.1e-05,8.31e-07,0.754
"255","NFATC2",4.17e-05,8.53e-07,-0.557
"256","PNPLA1",4.17e-05,8.54e-07,0.584
"257","SBNO2",4.21e-05,8.68e-07,0.604
"258","ZNF470",4.26e-05,8.84e-07,-0.537
"259","CREG1",4.29e-05,8.94e-07,0.521
"260","ZNF614",4.29e-05,8.98e-07,-0.563
"261","GNA15",4.46e-05,9.41e-07,0.514
"262","PRKCQ",4.52e-05,9.57e-07,-0.624
"263","ADAM28",4.55e-05,9.72e-07,-0.688
"264","PLSCR2",4.55e-05,9.74e-07,0.761
"265","CYP1B1",4.64e-05,9.97e-07,1.02
"266","CYP2U1",4.65e-05,1e-06,-0.6
"267","CLEC5A",4.67e-05,1.01e-06,1.03
"268","ICA1",4.67e-05,1.01e-06,0.577
"269","HBM",4.73e-05,1.03e-06,0.798
"270","TNFSF13B",4.77e-05,1.04e-06,0.644
"271","APOBEC3A",4.8e-05,1.05e-06,0.757
"272","CEACAM5",4.82e-05,1.06e-06,1.01
"273","ZNF567",4.92e-05,1.09e-06,-0.616
"274","PADI2",4.93e-05,1.09e-06,0.919
"275","ZYX",4.94e-05,1.1e-06,0.502
"276","CRISP3",5.17e-05,1.16e-06,0.899
"277","GPR89A",5.31e-05,1.2e-06,-0.563
"278","UPB1",5.33e-05,1.21e-06,0.552
"279","EIF3L",5.35e-05,1.22e-06,-0.514
"280","UBASH3A",5.37e-05,1.23e-06,-0.561
"281","SIAH3",5.39e-05,1.24e-06,-0.656
"282","CMPK2",5.63e-05,1.3e-06,0.985
"283","H1F0",5.69e-05,1.32e-06,0.614
"284","ID3",5.8e-05,1.35e-06,-0.574
"285","UPRT",5.8e-05,1.36e-06,-0.513
"286","---",5.87e-05,1.38e-06,-0.5
"287","ZFP82",5.88e-05,1.39e-06,-0.649
"288","---",5.88e-05,1.39e-06,0.564
"289","B4GALT5",5.97e-05,1.42e-06,0.705
"290","S100A12",5.97e-05,1.42e-06,0.598
"291","FOLR3",6.14e-05,1.47e-06,1.21
"292","ADGRG1",6.28e-05,1.52e-06,-0.757
"293","RAPH1",6.28e-05,1.52e-06,-0.506
"294","ZNF253",6.35e-05,1.55e-06,-0.511
"295","---",6.38e-05,1.56e-06,-0.533
"296","VSIG1",6.4e-05,1.56e-06,-0.543
"297","MTERF2",6.4e-05,1.57e-06,-0.54
"298","KLHL11",6.4e-05,1.57e-06,-0.557
"299","---",6.41e-05,1.58e-06,-0.698
"300","FLVCR2",6.46e-05,1.6e-06,0.944
"301","STAT4",6.46e-05,1.6e-06,-0.69
"302","RNF10",6.53e-05,1.62e-06,0.573
"303","RAB13",6.55e-05,1.63e-06,0.865
"304","---",6.57e-05,1.64e-06,-0.517
"305","FOXO1",6.57e-05,1.64e-06,-0.623
"306","LANCL1",6.69e-05,1.68e-06,-0.602
"307","SLC11A1",6.71e-05,1.69e-06,0.649
"308","IFI6",6.75e-05,1.7e-06,0.959
"309","FUT8",6.84e-05,1.73e-06,-0.503
"310","CTSD",6.85e-05,1.74e-06,0.589
"311","AXIN2",7.1e-05,1.82e-06,-0.564
"312","FPR1",7.22e-05,1.87e-06,0.725
"313","CASD1",7.35e-05,1.93e-06,-0.766
"314","PYGL",7.44e-05,1.96e-06,0.684
"315","PADI4",7.47e-05,1.97e-06,0.93
"316","SIAH2",7.47e-05,1.97e-06,0.603
"317","TEX10",7.54e-05,2e-06,-0.579
"318","SLC12A2",7.54e-05,2e-06,-0.663
"319","FGFBP2",7.59e-05,2.02e-06,-1.06
"320","GTPBP10",7.61e-05,2.03e-06,-0.556
"321","CTSG",7.66e-05,2.05e-06,1.11
"322","GADD45B",7.7e-05,2.07e-06,0.593
"323","BOD1",7.74e-05,2.08e-06,-0.514
"324","ZCCHC4",8.05e-05,2.21e-06,-0.645
"325","TBC1D8",8.22e-05,2.26e-06,0.657
"326","FAM179B",8.23e-05,2.27e-06,-0.662
"327","SORT1",8.3e-05,2.3e-06,0.85
"328","SAMD3",8.32e-05,2.33e-06,-0.75
"329","TRAF3IP3",8.33e-05,2.34e-06,-0.527
"330","NCF4",8.64e-05,2.44e-06,0.702
"331","PIK3AP1",8.77e-05,2.49e-06,0.515
"332","ENPP3",8.78e-05,2.5e-06,-0.589
"333","QSOX1",8.81e-05,2.51e-06,0.595
"334","---",8.89e-05,2.54e-06,-0.538
"335","---",8.89e-05,2.54e-06,-0.627
"336","XK",8.9e-05,2.55e-06,0.968
"337","EFCAB2",9.4e-05,2.73e-06,0.809
"338","---",9.42e-05,2.74e-06,0.618
"339","SLC25A53",9.56e-05,2.79e-06,-0.667
"340","ZNF549",9.65e-05,2.83e-06,-0.646
"341","PURA",9.71e-05,2.86e-06,-0.55
"342","STX3",9.75e-05,2.88e-06,0.609
"343","MKL2",9.99e-05,2.95e-06,-0.526
"344","FUT7",1e-04,2.97e-06,0.802
"345","---",1e-04,2.98e-06,-0.68
"346","IRAK3",0.000102,3.05e-06,0.511
"347","CLEC4C",0.000103,3.07e-06,-0.503
"348","TBC1D19",0.000106,3.17e-06,-0.553
"349","PTCH1",0.000106,3.2e-06,-0.744
"350","TRAF5",0.000106,3.21e-06,-0.517
"351","SGCB",0.000109,3.33e-06,-0.555
"352","ZNF184",0.00011,3.34e-06,-0.583
"353","CDK1",0.00011,3.36e-06,0.702
"354","PPM1N",0.000112,3.43e-06,1.05
"355","AHSP",0.000116,3.63e-06,0.819
"356","TSTA3",0.000118,3.69e-06,0.53
"357","SLPI",0.000118,3.71e-06,0.935
"358","KLRG1",0.000118,3.72e-06,-0.718
"359","SH2D1A",0.000121,3.89e-06,-0.542
"360","CHIT1",0.000123,3.94e-06,0.931
"361","NLRC4",0.000137,4.53e-06,0.778
"362","PARP15",0.000137,4.54e-06,-0.51
"363","FAM134B",0.000141,4.69e-06,-0.621
"364","ALAS2",0.000142,4.73e-06,0.678
"365","ZNF600",0.000144,4.85e-06,-0.621
"366","IFIT1B",0.000147,4.95e-06,1.01
"367","KLRC2",0.000149,5.02e-06,-0.925
"368","ITGA2B",0.000151,5.15e-06,1.04
"369","RPS6KA5",0.000151,5.15e-06,-0.569
"370","SLC51A",0.000152,5.21e-06,0.611
"371","TRIM22",0.000153,5.26e-06,0.806
"372","KLRF1",0.000154,5.32e-06,-0.628
"373","TRAV19",0.000154,5.33e-06,-0.505
"374","ZFP36",0.000155,5.38e-06,0.504
"375","ADK",0.000155,5.38e-06,-0.521
"376","DRAM1",0.000156,5.42e-06,0.707
"377","CST7",0.000156,5.42e-06,0.781
"378","ZNF280B",0.000156,5.44e-06,-0.694
"379","IL7",0.000162,5.71e-06,-0.631
"380","SIGLEC14",0.000163,5.76e-06,0.726
"381","LY6E",0.000164,5.82e-06,0.732
"382","MICU3",0.000164,5.83e-06,-0.523
"383","PGK1",0.000164,5.88e-06,0.547
"384","ZBTB39",0.000164,5.88e-06,-0.503
"385","ARID3A",0.000164,5.88e-06,0.517
"386","OFD1",0.000166,5.97e-06,-0.539
"387","JUNB",0.000167,6.02e-06,0.653
"388","---",0.00017,6.18e-06,0.824
"389","IL1RN",0.000171,6.24e-06,0.889
"390","GNLY",0.000171,6.25e-06,-0.76
"391","NCOA5",0.000171,6.3e-06,-0.602
"392","ZMAT1",0.000172,6.34e-06,-0.619
"393","RAP1GAP",0.000182,6.81e-06,0.929
"394","GTSE1",0.000182,6.91e-06,0.559
"395","SCAI",0.000182,6.92e-06,-0.621
"396","FERMT3",0.000184,7e-06,0.509
"397","---",0.000185,7.07e-06,-0.557
"398","OAS1",0.000185,7.08e-06,0.732
"399","PLBD1",0.000185,7.11e-06,0.699
"400","FAM111B",0.000199,7.72e-06,-0.729
"401","PPP1R3B",0.000204,7.98e-06,0.675
"402","DOK3",0.000204,7.98e-06,0.671
"403","RRN3",0.000204,8.02e-06,-0.601
"404","PRAM1",0.000204,8.03e-06,0.548
"405","SPINK8",0.000205,8.07e-06,0.61
"406","WDR61",0.000206,8.15e-06,-0.544
"407","ZNF781",0.000206,8.18e-06,-0.525
"408","CYB5R3",0.000216,8.63e-06,0.562
"409","DDAH2",0.000216,8.66e-06,0.638
"410","CCR1",0.000217,8.7e-06,0.659
"411","ACRV1",0.000217,8.75e-06,0.647
"412","TRIM32",0.000219,8.81e-06,-0.531
"413","CSF3R",0.000219,8.86e-06,0.694
"414","DNAH17",0.000221,8.98e-06,0.55
"415","SERPINB10",0.000222,9.02e-06,0.939
"416","NCAPH",0.000223,9.09e-06,0.501
"417","SACS",0.000224,9.13e-06,-0.532
"418","---",0.000224,9.16e-06,-0.742
"419","ABHD12B",0.000226,9.26e-06,0.847
"420","ARG2",0.000228,9.44e-06,0.719
"421","ARL11",0.000228,9.46e-06,0.57
"422","MFSD8",0.000229,9.49e-06,-0.551
"423","SMYD2",0.000229,9.5e-06,-0.51
"424","MYEF2",0.000236,9.87e-06,-0.571
"425","LRRN3",0.000239,9.97e-06,-0.541
"426","LUC7L",0.000242,1.01e-05,-0.545
"427","WDR19",0.000253,1.07e-05,-0.577
"428","KIAA0930",0.000259,1.1e-05,0.511
"429","IFI44L",0.000261,1.12e-05,1.03
"430","ZNF568",0.000263,1.13e-05,-0.633
"431","EXOC6B",0.000263,1.13e-05,-0.501
"432","HIBADH",0.000264,1.14e-05,-0.512
"433","CDC6",0.000264,1.14e-05,0.625
"434","SMPDL3A",0.000269,1.17e-05,1.02
"435","PHF14",0.000271,1.18e-05,-0.612
"436","ODF2L",0.000275,1.2e-05,-0.54
"437","---",0.000277,1.22e-05,-0.593
"438","---",0.000279,1.23e-05,0.593
"439","HMBS",0.00028,1.23e-05,0.723
"440","ZNF343",0.000293,1.3e-05,-0.562
"441","HIST1H1B",0.000296,1.32e-05,0.587
"442","XCL1",0.000297,1.32e-05,-0.61
"443","TAF1B",0.000298,1.33e-05,-0.591
"444","PFKFB4",3e-04,1.34e-05,0.522
"445","TSHZ3",3e-04,1.34e-05,0.617
"446","PLCL1",0.000301,1.36e-05,-0.521
"447","NMUR1",0.000301,1.36e-05,-0.59
"448","NAA16",0.000301,1.36e-05,-0.503
"449","IMPA2",0.000303,1.37e-05,0.583
"450","TRIM23",0.000303,1.37e-05,-0.503
"451","BST1",0.000306,1.39e-05,0.719
"452","EPHA4",0.000309,1.41e-05,-0.622
"453","ISG15",0.000309,1.41e-05,0.867
"454","DEFA4",0.00031,1.42e-05,0.55
"455","ITGB2",0.000311,1.43e-05,0.715
"456","RGPD6",0.000315,1.45e-05,-0.501
"457","CARD6",0.000316,1.46e-05,0.758
"458","LAX1",0.00032,1.48e-05,-0.542
"459","SLAMF1",0.00033,1.54e-05,-0.585
"460","CAMP",0.000334,1.57e-05,0.981
"461","AGTRAP",0.000336,1.58e-05,0.567
"462","MSH2",0.000336,1.58e-05,-0.69
"463","SLC6A8",0.000337,1.59e-05,0.554
"464","SLC2A3",0.000349,1.66e-05,0.642
"465","SENP7",0.00035,1.67e-05,-0.595
"466","RSAD2",0.000358,1.71e-05,1.05
"467","COG6",0.00036,1.73e-05,-0.585
"468","---",0.000363,1.75e-05,0.557
"469","ZNF121",0.000363,1.75e-05,-0.596
"470","ZNF480",0.000365,1.77e-05,-0.751
"471","TMCC1",0.000367,1.78e-05,-0.605
"472","RGL4",0.000368,1.79e-05,0.57
"473","EFHD2",0.00037,1.81e-05,0.587
"474","ZNF573",0.00037,1.81e-05,-0.515
"475","EFCAB13",0.000386,1.9e-05,-0.553
"476","NFYB",0.000386,1.91e-05,-0.6
"477","---",0.000389,1.93e-05,-0.608
"478","TNFAIP6",0.000391,1.94e-05,0.705
"479","TCN1",0.000398,1.98e-05,1.14
"480","IRF7",4e-04,2e-05,0.574
"481","SNRPA1",0.000403,2.02e-05,-0.59
"482","GZMH",0.000403,2.02e-05,-0.718
"483","HEPACAM2",0.000408,2.05e-05,0.579
"484","---",0.00041,2.07e-05,-0.529
"485","CACNA1E",0.000417,2.12e-05,0.725
"486","CD1C",0.000425,2.16e-05,-0.699
"487","C19orf38",0.000425,2.17e-05,0.689
"488","SQRDL",0.000425,2.17e-05,0.541
"489","RALGPS2",0.000435,2.23e-05,-0.557
"490","OLAH",0.000437,2.25e-05,0.61
"491","RTTN",0.000437,2.25e-05,-0.628
"492","---",0.000439,2.26e-05,-0.587
"493","DISP2",0.000441,2.27e-05,0.627
"494","ERG",0.000442,2.28e-05,0.732
"495","CPEB4",0.000453,2.35e-05,0.541
"496","TARDBP",0.000455,2.37e-05,-0.537
"497","GAS7",0.000456,2.38e-05,0.619
"498","---",0.000463,2.42e-05,-0.601
"499","KIF11",0.000478,2.52e-05,0.516
"500","APOBEC3B",0.000479,2.53e-05,0.667
"501","CD14",0.000507,2.71e-05,0.505
"502","GUCY2C",0.000507,2.72e-05,0.683
"503","MRPS27",0.000513,2.76e-05,-0.533
"504","SEMA4A",0.000514,2.77e-05,0.64
"505","SESN1",0.000524,2.83e-05,-0.523
"506","---",0.000537,2.93e-05,0.656
"507","ACSL1",0.000552,3.04e-05,0.732
"508","BASP1",0.000567,3.15e-05,0.663
"509","MTX1",0.000569,3.16e-05,0.548
"510","NARS2",0.000577,3.21e-05,-0.539
"511","MTA3",0.000582,3.25e-05,-0.588
"512","KIF1B",0.000586,3.28e-05,0.83
"513","RRAGD",0.000586,3.28e-05,0.602
"514","FLOT2",0.000592,3.33e-05,0.525
"515","TLR5",0.000596,3.37e-05,0.736
"516","MSRB1",0.000597,3.38e-05,0.564
"517","ADHFE1",0.000599,3.4e-05,-0.559
"518","TOR1B",0.000617,3.54e-05,0.522
"519","PDE8A",0.000623,3.58e-05,-0.518
"520","LRRC16A",0.000624,3.6e-05,-0.518
"521","CLEC1B",0.000624,3.6e-05,0.807
"522","OTUD3",0.000631,3.67e-05,-0.611
"523","E2F2",0.000631,3.67e-05,0.554
"524","ANAPC1",0.000633,3.7e-05,-0.539
"525","ATP10D",0.000635,3.71e-05,-0.516
"526","RASGRF2",0.000643,3.76e-05,-0.572
