"","Name","adj.P.Val","P.Value","logFC"
"1","NRCAM",6.33e-10,2.8e-14,-0.788
"2","RORA",2.05e-08,1.91e-12,-0.634
"3","IFI27",2.05e-08,2.72e-12,3.42
"4","CRTAM",5.19e-08,1.07e-11,-0.968
"5","SLAMF6",5.19e-08,1.15e-11,-0.554
"6","RNF125",7.34e-08,2.7e-11,-0.624
"7","DEFA1B",7.34e-08,3.27e-11,1.53
"8","DEFA1",7.34e-08,3.27e-11,1.53
"9","DEFA3",7.34e-08,3.27e-11,1.53
"10","HP",7.34e-08,3.77e-11,1.98
"11","FAM20A",7.34e-08,3.95e-11,1.6
"12","FCRL3",7.34e-08,4.06e-11,-1.11
"13","OLFM4",7.34e-08,4.23e-11,2.67
"14","FCER1A",8.73e-08,5.41e-11,-0.942
"15","IFI27L2",9.67e-08,6.42e-11,1.06
"16","ZBTB7B",1.22e-07,8.62e-11,0.543
"17","SLC30A4",1.56e-07,1.3e-10,-0.761
"18","TOX",1.56e-07,1.31e-10,-0.6
"19","STOM",1.65e-07,1.46e-10,0.981
"20","NPAT",2.11e-07,1.96e-10,-0.548
"21","GYG1",2.13e-07,2.17e-10,1.21
"22","MMP8",2.17e-07,2.34e-10,2.51
"23","MAPK14",2.17e-07,2.4e-10,0.672
"24","TSPO",2.23e-07,2.57e-10,0.807
"25","GCNT4",2.62e-07,3.19e-10,-0.864
"26","GPRASP1",2.62e-07,3.25e-10,-0.756
"27","NTNG2",2.73e-07,3.51e-10,1.09
"28","NMT2",2.77e-07,3.79e-10,-0.592
"29","DOCK9",2.77e-07,4.5e-10,-0.554
"30","KCNE1",2.77e-07,4.52e-10,1.45
"31","TSHZ2",2.77e-07,4.54e-10,-0.708
"32","NT5E",3.05e-07,5.27e-10,-1.11
"33","NAIP",3.45e-07,6.12e-10,0.734
"34","HSF2",3.45e-07,6.51e-10,-0.548
"35","CCR9",3.45e-07,6.56e-10,-0.841
"36","NOG",4.03e-07,7.84e-10,-0.864
"37","P2RY10",4.1e-07,8.2e-10,-0.682
"38","CD40LG",4.12e-07,8.72e-10,-0.529
"39","SLC4A7",4.12e-07,8.76e-10,-0.562
"40","CD177",4.17e-07,9.04e-10,1.91
"41","PTGDR2",4.52e-07,1.02e-09,-0.897
"42","KLRD1",4.56e-07,1.05e-09,-0.959
"43","KLRB1",5.42e-07,1.27e-09,-0.97
"44","ELANE",5.46e-07,1.31e-09,2.04
"45","FCGR1A",6.09e-07,1.48e-09,1.38
"46","GALNT14",7.55e-07,1.93e-09,1.13
"47","FCGR1B",8.17e-07,2.17e-09,1.11
"48","ARG1",8.38e-07,2.26e-09,1.19
"49","KLF12",8.46e-07,2.36e-09,-0.598
"50","ITK",9.24e-07,2.62e-09,-0.584
"51","PTGDR",9.3e-07,2.68e-09,-0.764
"52","ZNF66",9.47e-07,2.82e-09,-0.526
