"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000179902",-2.79941671467733,5.05355216761255,47.5992296904503,5.22890253767999e-12,1.71005047214684e-10
"ENSG00000145649",2.72973296266031,3.85990762980945,46.6089277654977,8.66645131910749e-12,2.72248634114611e-10
"ENSG00000089692",2.07538224387283,4.03705117324762,46.3466288399018,9.90778231105127e-12,3.08635721600122e-10
"ENSG00000137880",-2.27076658479501,4.3587402448385,46.1912626604132,1.07254218920225e-11,3.32249735943986e-10
"ENSG00000133640",-2.01673389010059,3.54930951968885,43.042479262964,5.35641265323234e-11,1.500872208765e-09
"ENSG00000101342",2.21716711915617,3.76342094372857,42.6269581980027,6.62401399199325e-11,1.81948285809627e-09
"ENSG00000177294",2.21831899674206,2.87919388677816,42.2223574345441,8.14633639317807e-11,2.22122111141129e-09
"ENSG00000224789",2.37104384326079,3.91028915504774,41.9846194282956,9.1994167892321e-11,2.47806512158252e-09
"ENSG00000102794",2.30810330481946,6.41480226593188,41.8664891609215,9.77231788510372e-11,2.6260455193898e-09
"ENSG00000258521",2.40616588682423,3.85528616453567,40.7160697045111,1.76033588150698e-10,4.56541063966647e-09
"ENSG00000234906",-2.1630278849282,4.07632150589304,38.3282498955787,5.97907897712617e-10,1.3833752853301e-08
"ENSG00000163666",2.17662790528972,3.28444709563044,37.1438304644924,1.09729364890918e-09,2.39941544561474e-08
"ENSG00000224666",4.40501974569365,3.34953945507044,36.4471767860389,1.56860169605458e-09,3.35759042502893e-08
"ENSG00000283259",-2.15244050417713,6.28885814397923,36.3770933669558,1.62603067513096e-09,3.46059047501155e-08
"ENSG00000181085",-2.04287154469137,4.01525375492623,34.4431744729546,4.38879140977566e-09,8.39516325931701e-08
"ENSG00000169245",2.74567617321816,8.36507613865447,33.8729433800302,5.88311938548894e-09,1.0953012919361e-07
"ENSG00000149021",-2.19691552495741,9.20149660442796,32.1623046863903,1.4181568362276e-08,2.39989150798334e-07
"ENSG00000276863",2.17290673029825,3.51847031064838,31.003725917939,2.57533572506154e-08,3.9894300190491e-07
"ENSG00000140481",-2.18296087285647,3.22020998980024,29.7161595022371,5.00161483110413e-08,7.21578377703406e-07
"ENSG00000099139",-2.38314596997559,10.557704012387,27.5172213613359,1.55701907672721e-07,1.95004282574812e-06
"ENSG00000160472",-2.18026426712369,4.04328910542139,25.8046799941479,3.77771365719683e-07,4.23407665377478e-06
"ENSG00000161055",-2.13340816769519,8.4811306117473,25.111982441128,5.40956712903281e-07,5.84568726966801e-06
"ENSG00000243955",-2.08740871552479,3.28138012111415,23.1520120235915,1.49686500025163e-06,1.43084662920338e-05
"ENSG00000257767",-2.34152962998181,3.66181191059284,22.0720381026368,2.62607296503568e-06,2.35607125551713e-05
"ENSG00000169248",2.51353228253211,5.99514307298169,21.7928993764745,3.03722088247538e-06,2.68179630097905e-05
"ENSG00000164825",2.08368787880206,5.31595666204975,19.5870067169274,9.61206746769854e-06,7.3622099175669e-05
"ENSG00000274827",-2.08131614233513,5.65382472556688,17.7769803715607,2.48370138527731e-05,0.000164824137098965
"ENSG00000284809",-2.23085207826846,4.84289450047851,16.849838701523,4.04567678407924e-05,0.000251210398084921
"ENSG00000236572",-2.0311941739236,3.52692876253033,15.1611175450778,9.87153430929704e-05,0.000539300659392132
"ENSG00000253838",3.36227432305126,6.23547993216091,11.1467484928405,0.000841790911383247,0.00328010211172116
"ENSG00000243018",2.50372872402054,3.11995191173923,7.25522152992242,0.00706951501380695,0.0197989029216412
