"Metric","Mean","SD","Median","IQR"
"Accuracy",0.891622103386809,0.0513023811964542,0.878787878787879,0.0632798573975044
"Precision",0.918190476190476,0.0413112734637017,0.916666666666667,0.0476190476190476
"Recall",0.930698287220026,0.07786132110545,0.956521739130435,0.136363636363636
"F1 Score",0.922289758339804,0.0389871370243357,0.923076923076923,0.0472813238770684
"ROC AUC",0.967446117964893,0.0311146813238862,0.981481481481482,0.0259753330405504
