"fold","accuracy","precision","recall","f1","roc"
1,0.764705882352941,0.75,1,0.857142857142857,0.975
2,0.735294117647059,0.791666666666667,0.826086956521739,0.808510638297872,0.806324110671937
3,0.818181818181818,0.821428571428572,0.958333333333333,0.884615384615385,0.824074074074074
4,0.818181818181818,0.875,0.875,0.875,0.875
5,0.878787878787879,0.909090909090909,0.909090909090909,0.909090909090909,0.921487603305785
