"fold","accuracy","precision","recall","f1","roc"
1,0.911764705882353,0.888888888888889,1,0.941176470588235,0.95
2,0.941176470588235,0.956521739130435,0.956521739130435,0.956521739130435,0.936758893280632
3,0.93939393939394,0.923076923076923,1,0.96,0.958333333333333
4,0.878787878787879,1,0.833333333333333,0.909090909090909,0.981481481481482
5,0.878787878787879,0.909090909090909,0.909090909090909,0.909090909090909,0.975206611570248
