"Metric","Mean","SD","Median","IQR"
"Accuracy",0.909982174688057,0.030771259361198,0.911764705882353,0.0606060606060607
"Precision",0.935515692037431,0.0436650056875111,0.923076923076923,0.0474308300395256
"Recall",0.939789196310935,0.070366709727544,0.956521739130435,0.0909090909090909
"F1 Score",0.935176005580098,0.0248432140522104,0.941176470588235,0.0474308300395258
"ROC AUC",0.960356063933139,0.0182687437566464,0.958333333333333,0.0252066115702481
