"Metric","Mean","SD","Median","IQR"
"Accuracy",0.87379679144385,0.0346598053323233,0.848484848484849,0.0632798573975044
"Precision",0.90344647301169,0.0475067280905093,0.888888888888889,0.0828157349896481
"Recall",0.922760210803689,0.0622693006149928,0.91304347826087,0.0492424242424243
"F1 Score",0.910849673202614,0.0248434802995128,0.901960784313726,0.0444444444444443
"ROC AUC",0.951932466962111,0.0385913539099529,0.953703703703704,0.0388353229262319
