"Metric","Mean","SD","Median","IQR"
"Accuracy",0.903565062388592,0.0547834798142331,0.909090909090909,0.0926916221033868
"Precision",0.932510697032436,0.0331657827665622,0.952380952380952,0.0517598343685299
"Recall",0.930698287220026,0.07786132110545,0.956521739130435,0.136363636363636
"F1 Score",0.929979973114962,0.042188683796672,0.941176470588235,0.0676328502415459
"ROC AUC",0.95508913243103,0.0200101633908693,0.962962962962963,0.0150234226321181
