"Metric","Mean","SD","Median","IQR"
"Accuracy",0.891800356506239,0.0467026574670225,0.909090909090909,0.0329768270944741
"Precision",0.941342657342657,0.0368928144684224,0.923076923076923,0.0345454545454545
"Recall",0.904578392621871,0.078432711652086,0.91304347826087,0.125
"F1 Score",0.920334812185744,0.0356139170900546,0.933333333333333,0.0387755102040817
"ROC AUC",0.949587708441463,0.0619633683757023,0.986111111111111,0.0587495508444126
