"Metric","Mean","SD","Median","IQR"
"Accuracy",0.885739750445633,0.0405422995321358,0.878787878787879,0.0632798573975044
"Precision",0.911939268461008,0.0424517600657115,0.904761904761905,0.0634920634920636
"Recall",0.930698287220026,0.07786132110545,0.956521739130435,0.136363636363636
"F1 Score",0.918676990383408,0.0318867847110604,0.923076923076923,0.0522875816993463
"ROC AUC",0.930838124326267,0.0105938389591017,0.933884297520661,0.00237886107451335
