"Metric","Mean","SD","Median","IQR"
"Accuracy",0.803030303030303,0.055351827291352,0.818181818181818,0.0534759358288771
"Precision",0.82943722943723,0.0636822231464448,0.821428571428572,0.0833333333333334
"Recall",0.913702239789196,0.068254676627124,0.909090909090909,0.0833333333333334
"F1 Score",0.866871957829405,0.0376298854864331,0.875,0.0274725274725274
"ROC AUC",0.880377157610359,0.0695096321521272,0.875,0.0974135292317112
