"fold","accuracy","precision","recall","f1","roc"
1,0.794117647058823,0.774193548387097,1,0.872727272727273,0.9875
2,0.735294117647059,0.769230769230769,0.869565217391304,0.816326530612245,0.822134387351779
3,0.848484848484849,0.827586206896552,1,0.905660377358491,0.842592592592593
4,0.878787878787879,0.884615384615385,0.958333333333333,0.92,0.921296296296296
5,0.818181818181818,0.807692307692308,0.954545454545455,0.875,0.942148760330579
