"Metric","Mean","SD","Median","IQR"
"Accuracy",0.897504456327986,0.0556880547301722,0.878787878787879,0.0926916221033868
"Precision",0.92616149068323,0.0446535654334005,0.952380952380952,0.0517598343685299
"Recall",0.930698287220026,0.07786132110545,0.956521739130435,0.136363636363636
"F1 Score",0.9263600636127,0.0417621598523056,0.923076923076923,0.0676328502415459
"ROC AUC",0.92916294033883,0.0181432810252966,0.930555555555555,0.0142365685843946
