"Metric","Mean","SD","Median","IQR"
"Accuracy",0.796078431372549,0.04617151511957,0.794117647058823,0.0303030303030304
"Precision",0.794235658668362,0.0540086887021258,0.774193548387097,0.0628078817733991
"Recall",0.965942028985507,0.0361729593310734,0.958333333333333,0.0416666666666666
"F1 Score",0.870013682604421,0.0221520247552773,0.872727272727273,0.0218702865761691
"ROC AUC",0.934952289695373,0.0413597600203558,0.922924901185771,0.0319291398836854
