"Metric","Mean","SD","Median","IQR"
"Accuracy",0.940106951871658,0.0298766798618567,0.93939393939394,0.0579322638146168
"Precision",0.961444444444444,0.0454123766237497,0.96,0.0416666666666666
"Recall",0.956060606060606,0.0630201040699558,1,0.0833333333333334
"F1 Score",0.956568543800273,0.0231422366868726,0.956521739130435,0.0375469336670838
"ROC AUC",0.985193170173407,0.0210680605906941,0.99537037037037,0.00975665748393029
