"fold","accuracy","precision","recall","f1","roc"
1,0.441176470588235,0.619047619047619,0.541666666666667,0.577777777777778,0.360416666666667
2,0.61764705882353,0.777777777777778,0.608695652173913,0.682926829268293,0.616600790513834
3,0.424242424242424,0.666666666666667,0.416666666666667,0.512820512820513,0.430555555555556
4,0.484848484848485,0.705882352941177,0.5,0.585365853658537,0.479166666666667
5,0.515151515151515,0.6875,0.5,0.578947368421053,0.566115702479339
