"Metric","Mean","SD","Median","IQR"
"Accuracy",0.496613190730838,0.0765539561103692,0.484848484848485,0.0739750445632799
"Precision",0.691374883286648,0.0581650038544436,0.6875,0.0392156862745099
"Recall",0.513405797101449,0.069994148643729,0.5,0.0416666666666666
"F1 Score",0.587567668389234,0.0609415833955084,0.578947368421053,0.00758807588075872
"ROC AUC",0.490571076376412,0.102789314918563,0.479166666666667,0.135560146923783
