"Metric","Mean","SD","Median","IQR"
"Accuracy",0.928163992869875,0.0162347398560624,0.93939393939394,0.0276292335115865
"Precision",0.945001858045336,0.0415920034977174,0.956521739130435,0.0334448160535117
"Recall",0.956455862977602,0.0436428891042887,0.956521739130435,0.0833333333333334
"F1 Score",0.949249874973116,0.0101797134533,0.952380952380952,0.0153452685421995
"ROC AUC",0.988283360615376,0.0100531704985755,0.990740740740741,0.00313743495561669
