"Metric","Mean","SD","Median","IQR"
"Accuracy",0.814973262032086,0.0547479435611025,0.818181818181818,0.054367201426025
"Precision",0.812663643364422,0.0468796675352303,0.807692307692308,0.0533926585094548
"Recall",0.956488801054018,0.053266633925902,0.958333333333333,0.0454545454545454
"F1 Score",0.877942836139602,0.0399045693382799,0.875,0.0329331046312179
"ROC AUC",0.903134407314249,0.0692745294924639,0.921296296296296,0.0995561677379861
